행정동,연도,분기,나이,매출금액
여의동,2022,3,40,59160500356
여의동,2022,3,50,46556987308
여의동,2022,3,60,29063512238
여의동,2022,4,0,346717243159
여의동,2022,4,10,825604363
여의동,2022,4,20,36799181829
여의동,2022,4,30,63421503783
여의동,2022,4,40,59207059465
여의동,2022,4,50,44432796985
여의동,2022,4,60,35124935862
여의동,2023,1,0,344445574284
여의동,2023,1,10,495194846
여의동,2023,1,20,29612346396
여의동,2023,1,30,66360320735
여의동,2023,1,40,61126625122
여의동,2023,1,50,45382691232
여의동,2023,1,60,39313939302
여의동,2023,2,0,348020900226
여의동,2023,2,10,968510938
여의동,2023,2,20,34375923932
여의동,2023,2,30,68355658200
여의동,2023,2,40,60253844054
여의동,2023,2,50,48888513917
여의동,2023,2,60,37703090903
여의동,2023,3,0,341622118930
여의동,2023,3,10,794292154
여의동,2023,3,20,33272709532
여의동,2023,3,30,65929768117
여의동,2023,3,40,60533231727
여의동,2023,3,50,48848345966
여의동,2023,3,60,35810685373
여의동,2023,4,0,351711875127
여의동,2023,4,10,826026714
여의동,2023,4,20,33298182309
여의동,2023,4,30,63939561289
여의동,2023,4,40,59690411758
여의동,2023,4,50,46599681392
여의동,2023,4,60,36709772127
여의동,2024,1,0,335272512578
여의동,2024,1,10,450586741
여의동,2024,1,20,25508152869
여의동,2024,1,30,65589846640
여의동,2024,1,40,59727219802
여의동,2024,1,50,50575678256
여의동,2024,1,60,36865100726
여의동,2024,2,0,356320972548
여의동,2024,2,10,721871823
여의동,2024,2,20,31032113585
여의동,2024,2,30,72063070141
여의동,2024,2,40,61648207657
여의동,2024,2,50,48222370104
여의동,2024,2,60,42456656269
여의동,2024,3,0,347197913732
여의동,2024,3,10,729123899
여의동,2024,3,20,29243013583
여의동,2024,3,30,66276033015
여의동,2024,3,40,60569686224
여의동,2024,3,50,51167163671
여의동,2024,3,60,34639237513
여의동,2024,4,0,363347897787
여의동,2024,4,10,927269772
여의동,2024,4,20,29964239332
여의동,2024,4,30,67139685074
여의동,2024,4,40,60178024201
여의동,2024,4,50,48813286064
여의동,2024,4,60,36323325592
