행정동,20대_매출_억(2024),20대_매출비중(%),20대_성장률_23v24(%),매출규모_순위,비중_순위,성장률_순위
방배4동,142.8,5.92,-8.8,157,245,146
방배본동,115.4,5.45,7.2,189,274,21
방이1동,76.0,3.99,-6.0,242,360,101
방이2동,904.9,18.42,-0.8,20,22,44
방학1동,138.6,6.32,-13.6,162,224,242
방학2동,37.6,1.66,-24.3,326,421,390
방학3동,24.4,4.35,-7.1,363,345,113
방화1동,139.7,5.45,-8.7,160,274,142
방화2동,72.5,6.25,-6.4,250,232,104
방화3동,25.3,4.9,-11.6,359,316,202
번1동,256.4,10.2,-11.7,94,92,204
번2동,8.6,4.18,-41.1,409,352,420
번3동,18.9,3.46,-20.5,382,388,365
보광동,35.7,7.92,-38.5,330,155,416
보라매동,94.0,9.48,-24.2,214,106,388
보문동,53.2,9.29,-5.4,287,114,91
부암동,26.6,8.72,-21.5,354,129,371
북가좌1동,5.3,2.94,-40.9,417,401,419
북가좌2동,110.7,6.6,-16.9,193,213,314
북아현동,40.5,7.4,-3.0,317,175,67
불광1동,155.2,7.87,-7.1,144,157,113
불광2동,69.6,5.57,-13.0,254,268,232
사근동,622.2,41.09,-15.9,32,1,294
사당1동,428.5,16.42,-7.5,52,34,124
사당2동,317.7,10.21,-7.6,71,91,127
사당3동,39.8,6.76,0.4,319,206,39
사당4동,51.1,5.79,-5.0,290,252,86
사당5동,16.2,7.32,-3.2,390,177,68
사직동,479.3,11.56,-5.1,44,75,89
삼각산동,19.7,3.83,-28.7,377,374,407
삼선동,229.8,9.44,1.3,104,107,34
삼성1동,1082.7,10.56,-26.8,17,86,403
삼성2동,285.2,7.92,-13.7,81,155,245
삼성동,17.8,3.83,-5.5,386,374,93
삼양동,42.5,5.63,-14.3,316,266,259
삼전동,171.9,5.72,-17.2,131,259,317
삼청동,253.8,16.23,-16.7,96,35,308
상계10동,22.1,11.18,-3.4,368,80,70
상계1동,125.1,6.61,-17.6,176,212,322
상계2동,552.6,15.59,-12.5,36,39,227
상계3·4동,26.4,4.58,-11.0,355,331,187
상계5동,48.9,5.2,-4.4,296,298,76
상계6·7동,438.1,10.6,-12.2,50,84,218
상계8동,32.4,6.39,-14.7,337,222,265
상계9동,38.6,4.83,0.9,323,322,35
상도1동,315.9,13.17,-10.5,73,57,179
상도2동,74.6,7.01,-8.7,246,189,142
상도3동,102.0,6.54,-13.8,205,218,248
상도4동,57.4,6.77,-9.4,282,204,155
상봉1동,46.0,8.92,-7.1,305,124,113
상봉2동,401.1,14.52,-14.9,55,46,271
상암동,321.5,10.19,-18.0,70,93,329
상일동,31.3,3.98,-17.8,340,362,325
서강동,401.6,28.13,-9.5,54,9,158
서교동,4972.5,34.21,-2.0,1,4,53
서림동,65.4,11.43,-18.6,263,77,339
서빙고동,6.0,4.52,-20.4,415,336,364
서원동,651.6,27.88,-14.3,29,10,259
서초1동,191.7,6.84,-6.7,126,199,108
서초2동,529.8,9.81,-15.0,38,97,276
서초3동,486.8,6.23,-13.1,43,233,235
서초4동,1437.9,18.4,-10.1,11,23,171
석관동,146.1,8.69,-2.5,151,130,59
석촌동,269.4,7.31,-11.2,87,179,193
성내1동,94.3,5.21,-8.3,213,297,135
성내2동,203.8,9.69,-9.4,117,100,155
성내3동,171.8,6.0,-13.8,132,242,248
성북동,64.6,5.75,-1.1,266,257,48
성산1동,123.7,9.43,-16.6,178,108,304
성산2동,113.5,8.49,-10.5,191,133,179
성수1가1동,83.5,10.18,-9.6,229,94,160
성수1가2동,323.9,12.84,-3.3,69,59,69
성수2가1동,604.0,18.77,-24.3,33,21,390
성수2가3동,850.2,17.63,3.8,21,27,26
성현동,20.7,4.93,-34.1,372,313,414
세곡동,76.0,5.07,-4.1,242,304,74
소공동,357.8,5.8,-13.4,64,251,239
송정동,23.5,8.1,-17.8,365,144,325
송중동,364.7,11.51,-10.3,63,76,176
송천동,96.4,5.65,-5.9,210,263,98
송파1동,345.2,12.64,-2.2,66,62,54
송파2동,52.7,5.1,-9.6,288,303,160
수궁동,29.8,5.76,-19.1,344,255,350
수색동,6.5,2.68,7.8,413,405,20
수서동,155.1,6.88,-19.0,145,196,347
수유1동,79.2,3.42,-24.6,235,391,393
수유2동,50.3,4.94,-20.8,294,311,367
