행정동,20대매출_2020억,20대매출_2021억,20대매출_2022억,20대매출_2023억,20대매출_2024억,20대비중_2020%,20대비중_2021%,20대비중_2022%,20대비중_2023%,20대비중_2024%,20대성장률_2019v2020%,20대성장률_2020v2021%,20대성장률_2021v2022%,20대성장률_2022v2023%,20대성장률_2023v2024%,z_매출규모_2020,z_매출규모_2021,z_매출규모_2022,z_매출규모_2023,z_매출규모_2024,z_매출비중_2020,z_매출비중_2021,z_매출비중_2022,z_매출비중_2023,z_매출비중_2024,z_성장률_2020v2021,z_성장률_2021v2022,z_성장률_2022v2023,z_성장률_2023v2024
구의2동,104.3,128.6,106.1,100.2,83.4,11.0,11.45,9.45,8.63,6.81,,23.3,-17.5,-5.5,-16.7,-0.319,-0.285,-0.325,-0.32,-0.326,-0.185,0.04,-0.148,-0.087,-0.249,0.459,-1.044,0.387,-0.499
구의3동,617.8,472.4,421.7,346.8,330.0,10.86,8.96,8.56,7.47,6.99,,-23.5,-10.7,-17.8,-4.8,0.756,0.422,0.307,0.205,0.24,-0.205,-0.351,-0.288,-0.279,-0.217,-1.499,-0.532,-0.774,0.654
군자동,269.2,219.4,214.4,217.2,191.9,17.39,14.68,13.21,12.01,11.66,,-18.5,-2.3,1.3,-11.7,0.026,-0.098,-0.108,-0.071,-0.077,0.716,0.547,0.442,0.469,0.607,-1.29,0.1,1.03,-0.015
금호1가동,11.3,20.2,18.0,13.8,9.3,5.1,7.45,6.73,6.13,4.51,,78.8,-10.5,-23.3,-32.7,-0.514,-0.508,-0.501,-0.504,-0.496,-1.018,-0.588,-0.575,-0.499,-0.655,2.781,-0.517,-1.294,-2.051
금호2·3가동,51.6,52.7,44.1,35.1,33.8,7.92,7.16,5.86,4.52,4.57,,2.2,-16.3,-20.5,-3.5,-0.429,-0.441,-0.449,-0.459,-0.44,-0.62,-0.633,-0.712,-0.764,-0.644,-0.424,-0.953,-1.029,0.781
금호4가동,43.1,46.7,53.9,44.1,39.6,12.29,9.37,9.48,6.83,5.78,,8.4,15.5,-18.3,-10.1,-0.447,-0.453,-0.429,-0.439,-0.427,-0.003,-0.286,-0.144,-0.384,-0.431,-0.165,1.44,-0.822,0.141
길동,344.2,370.3,356.5,332.6,293.8,10.8,9.86,8.75,7.63,6.87,,7.6,-3.7,-6.7,-11.6,0.184,0.212,0.176,0.174,0.157,-0.214,-0.21,-0.258,-0.252,-0.238,-0.198,-0.005,0.274,-0.005
길음1동,23.0,29.7,29.6,25.5,20.8,6.71,7.37,6.26,4.94,4.18,,29.4,-0.6,-13.7,-18.5,-0.489,-0.488,-0.478,-0.479,-0.47,-0.791,-0.601,-0.649,-0.695,-0.713,0.714,0.228,-0.387,-0.674
길음2동,55.7,75.9,65.6,54.9,46.7,7.29,9.21,7.11,5.69,5.29,,36.2,-13.7,-16.2,-14.9,-0.421,-0.393,-0.406,-0.416,-0.41,-0.709,-0.312,-0.516,-0.572,-0.517,0.998,-0.758,-0.623,-0.325
낙성대동,466.8,562.6,623.9,582.6,510.9,30.8,31.67,31.38,27.77,25.21,,20.5,10.9,-6.6,-12.3,0.44,0.607,0.712,0.706,0.655,2.608,3.215,3.294,3.065,2.998,0.342,1.094,0.283,-0.073
난곡동,67.7,94.5,77.7,66.1,55.0,13.7,13.7,10.79,8.86,7.24,,39.7,-17.7,-15.0,-16.7,-0.395,-0.355,-0.382,-0.393,-0.391,0.195,0.393,0.062,-0.05,-0.173,1.145,-1.059,-0.51,-0.499
난향동,6.7,12.1,10.2,6.3,6.0,5.72,5.83,5.6,3.61,3.46,,82.0,-16.0,-37.8,-6.0,-0.523,-0.524,-0.517,-0.52,-0.504,-0.93,-0.842,-0.753,-0.914,-0.84,2.914,-0.931,-2.482,0.538
남가좌1동,14.8,17.6,16.8,19.9,17.9,3.82,4.38,3.43,2.67,2.07,,19.0,-4.5,18.7,-10.3,-0.506,-0.513,-0.504,-0.491,-0.476,-1.198,-1.07,-1.094,-1.069,-1.085,0.279,-0.065,2.673,0.121
남가좌2동,112.3,132.4,130.0,119.6,119.9,14.93,13.07,11.62,10.84,10.51,,17.8,-1.8,-8.0,0.2,-0.302,-0.277,-0.277,-0.279,-0.242,0.369,0.294,0.192,0.277,0.404,0.229,0.138,0.151,1.139
남영동,330.0,370.0,435.6,418.1,386.8,21.02,20.1,19.29,17.07,15.28,,12.1,17.7,-4.0,-7.5,0.154,0.211,0.335,0.356,0.37,1.228,1.398,1.396,1.303,1.246,-0.01,1.606,0.529,0.393
남현동,194.6,194.8,213.7,216.4,195.1,24.31,20.83,20.54,18.81,16.85,,0.1,9.7,1.3,-9.9,-0.13,-0.149,-0.109,-0.073,-0.07,1.692,1.513,1.593,1.589,1.523,-0.512,1.004,1.03,0.16
내곡동,10.8,12.1,13.9,8.9,9.2,4.6,5.08,5.57,3.55,3.75,,11.9,15.0,-35.8,3.3,-0.515,-0.524,-0.509,-0.514,-0.496,-1.088,-0.96,-0.758,-0.924,-0.789,-0.018,1.403,-2.475,1.44
노량진1동,1282.6,1146.5,1276.9,1322.6,1012.8,13.55,11.37,9.23,8.48,7.56,,-10.6,11.4,3.6,-23.4,2.149,1.807,2.019,2.281,1.808,0.174,0.028,-0.183,-0.112,-0.117,-0.959,1.132,1.247,-1.149
노량진2동,2325.1,2602.2,2579.6,2433.8,2146.4,9.99,8.91,8.28,7.5,6.73,,11.9,-0.9,-5.7,-11.8,4.331,4.8,4.626,4.645,4.41,-0.328,-0.359,-0.332,-0.274,-0.263,-0.018,0.206,0.368,-0.024
녹번동,102.2,138.3,117.1,105.4,83.0,9.05,8.4,6.88,5.62,4.55,,35.3,-15.4,-10.0,-21.2,-0.323,-0.265,-0.303,-0.309,-0.327,-0.46,-0.439,-0.552,-0.583,-0.648,0.961,-0.886,-0.038,-0.936
논현1동,1629.5,1718.3,1738.2,1600.5,1421.7,17.16,17.02,16.53,15.1,14.0,,5.4,1.2,-7.9,-11.2,2.875,2.983,2.942,2.872,2.746,0.684,0.915,0.963,0.978,1.02,-0.29,0.364,0.161,0.034
논현2동,857.2,918.7,972.2,831.9,703.0,14.6,12.75,12.27,10.66,9.17,,7.2,5.8,-14.4,-15.5,1.258,1.339,1.409,1.237,1.096,0.322,0.244,0.294,0.247,0.167,-0.215,0.71,-0.453,-0.383
능동,136.2,174.2,173.7,150.4,137.3,17.56,17.11,16.3,13.97,13.42,,27.9,-0.3,-13.5,-8.7,-0.252,-0.191,-0.189,-0.213,-0.202,0.74,0.929,0.927,0.792,0.917,0.651,0.251,-0.368,0.276
다산동,217.9,180.9,178.0,192.7,150.2,18.68,12.8,11.31,11.4,9.07,,-17.0,-1.6,8.2,-22.0,-0.081,-0.178,-0.181,-0.123,-0.173,0.898,0.252,0.144,0.369,0.15,-1.227,0.153,1.681,-1.013
답십리1동,83.7,102.4,96.3,83.4,68.2,9.05,7.54,6.82,5.68,4.75,,22.2,-5.9,-13.4,-18.2,-0.362,-0.339,-0.344,-0.356,-0.361,-0.46,-0.574,-0.561,-0.573,-0.612,0.413,-0.171,-0.359,-0.645
답십리2동,74.7,96.5,86.1,82.9,73.0,8.95,8.3,7.2,6.75,6.08,,29.1,-10.8,-3.6,-12.0,-0.381,-0.351,-0.365,-0.357,-0.35,-0.475,-0.454,-0.502,-0.397,-0.378,0.701,-0.539,0.567,-0.044
당산1동,278.4,316.9,335.6,310.0,366.5,6.25,5.19,6.3,5.69,6.27,,13.9,5.9,-7.6,18.2,0.046,0.102,0.135,0.126,0.324,-0.855,-0.943,-0.643,-0.572,-0.344,0.065,0.718,0.189,2.885
당산2동,322.1,359.4,368.3,333.2,279.3,19.53,16.95,15.6,13.96,12.09,,11.6,2.5,-9.5,-16.2,0.137,0.189,0.2,0.176,0.124,1.018,0.904,0.817,0.79,0.683,-0.031,0.462,0.01,-0.451
대림1동,66.6,80.4,77.0,74.2,63.2,7.15,6.98,6.63,6.15,5.3,,20.8,-4.2,-3.7,-14.9,-0.398,-0.384,-0.383,-0.375,-0.372,-0.728,-0.662,-0.591,-0.496,-0.515,0.354,-0.043,0.557,-0.325
대림2동,97.7,118.5,110.8,83.5,67.8,9.46,7.72,6.74,5.19,4.17,,21.2,-6.5,-24.7,-18.8,-0.333,-0.306,-0.315,-0.356,-0.362,-0.403,-0.546,-0.574,-0.654,-0.715,0.371,-0.216,-1.426,-0.703
대림3동,146.6,147.0,130.5,140.7,92.3,3.28,2.51,2.3,2.76,1.82,,0.3,-11.2,7.8,-34.4,-0.23,-0.247,-0.276,-0.234,-0.306,-1.274,-1.364,-1.271,-1.054,-1.129,-0.503,-0.57,1.644,-2.216
대방동,210.1,224.9,243.3,222.3,181.5,12.42,11.76,11.33,9.87,8.0,,7.0,8.2,-8.6,-18.3,-0.097,-0.087,-0.05,-0.06,-0.101,0.015,0.089,0.147,0.117,-0.039,-0.223,0.891,0.095,-0.655
대조동,270.8,312.4,261.5,245.6,227.2,12.87,12.48,10.55,9.47,9.22,,15.4,-16.3,-6.1,-7.5,0.03,0.093,-0.014,-0.011,0.004,0.078,0.202,0.024,0.051,0.176,0.128,-0.953,0.331,0.393
대치1동,124.3,169.7,161.5,143.6,136.7,4.44,4.05,3.42,2.87,2.57,,36.5,-4.9,-11.1,-4.8,-0.277,-0.201,-0.214,-0.228,-0.204,-1.111,-1.122,-1.095,-1.036,-0.997,1.011,-0.095,-0.142,0.654
대치2동,361.2,335.8,277.3,242.6,206.1,7.0,5.83,4.54,3.54,2.96,,-7.0,-17.4,-12.5,-15.1,0.219,0.141,0.018,-0.017,-0.044,-0.75,-0.842,-0.919,-0.926,-0.928,-0.809,-1.036,-0.274,-0.344
대치4동,531.0,609.1,625.9,585.4,518.5,10.83,8.2,7.54,6.76,6.06,,14.7,2.7,-6.5,-11.4,0.575,0.703,0.716,0.712,0.673,-0.209,-0.47,-0.448,-0.395,-0.381,0.099,0.477,0.293,0.015
대학동,318.0,354.1,324.7,319.9,256.9,29.4,27.05,24.99,23.87,20.99,,11.3,-8.3,-1.5,-19.7,0.129,0.179,0.113,0.147,0.072,2.41,2.49,2.291,2.423,2.253,-0.043,-0.351,0.765,-0.79
대흥동,354.2,406.0,424.5,397.8,365.2,19.69,17.72,18.74,16.93,16.21,,14.6,4.5,-6.3,-8.2,0.204,0.285,0.313,0.313,0.321,1.04,1.025,1.31,1.28,1.41,0.095,0.612,0.312,0.325
도곡1동,190.7,238.7,187.7,160.5,144.6,8.86,8.62,6.76,5.89,5.25,,25.1,-21.3,-14.5,-9.9,-0.138,-0.059,-0.161,-0.192,-0.186,-0.487,-0.404,-0.571,-0.539,-0.524,0.534,-1.33,-0.463,0.16
도곡2동,175.7,204.1,191.0,163.1,152.3,8.25,7.97,6.67,5.87,5.25,,16.2,-6.4,-14.6,-6.6,-0.169,-0.13,-0.155,-0.186,-0.168,-0.573,-0.506,-0.585,-0.542,-0.524,0.162,-0.208,-0.472,0.48
도림동,53.4,48.2,46.7,33.8,24.6,10.68,8.84,7.85,5.76,4.41,,-9.6,-3.1,-27.6,-27.4,-0.425,-0.45,-0.444,-0.461,-0.461,-0.231,-0.37,-0.4,-0.56,-0.672,-0.918,0.04,-1.7,-1.537
도봉1동,92.9,107.9,97.1,82.9,66.9,5.43,5.65,4.9,4.32,3.57,,16.2,-10.0,-14.7,-19.3,-0.343,-0.328,-0.343,-0.357,-0.364,-0.971,-0.871,-0.863,-0.797,-0.821,0.162,-0.479,-0.482,-0.751
도봉2동,27.8,29.1,32.6,27.0,26.1,6.44,6.48,6.72,5.6,5.38,,5.0,11.8,-17.2,-3.4,-0.479,-0.49,-0.472,-0.476,-0.458,-0.829,-0.74,-0.577,-0.587,-0.501,-0.307,1.162,-0.718,0.79
도화동,182.4,182.8,200.7,189.0,158.5,12.15,10.69,9.16,8.58,6.78,,0.2,9.8,-5.8,-16.2,-0.155,-0.174,-0.135,-0.131,-0.154,-0.023,-0.079,-0.194,-0.096,-0.254,-0.508,1.011,0.359,-0.451
독산1동,302.9,351.7,342.7,289.5,237.6,3.32,3.55,3.59,3.32,2.69,,16.1,-2.6,-15.5,-17.9,0.097,0.174,0.149,0.083,0.028,-1.269,-1.2,-1.068,-0.962,-0.976,0.158,0.078,-0.557,-0.616
독산2동,64.3,86.7,71.3,57.6,43.4,9.03,9.02,7.93,6.73,5.15,,35.0,-17.8,-19.2,-24.6,-0.403,-0.371,-0.394,-0.411,-0.418,-0.463,-0.341,-0.387,-0.4,-0.542,0.948,-1.066,-0.907,-1.265
독산3동,93.2,106.2,96.6,82.7,74.3,7.41,6.72,5.97,5.22,4.93,,14.0,-9.1,-14.4,-10.1,-0.342,-0.331,-0.344,-0.357,-0.347,-0.692,-0.703,-0.695,-0.649,-0.581,0.07,-0.411,-0.453,0.141
독산4동,101.8,90.1,90.5,83.5,61.6,16.36,13.78,11.89,11.35,8.8,,-11.5,0.5,-7.8,-26.3,-0.324,-0.364,-0.356,-0.356,-0.376,0.571,0.406,0.235,0.361,0.102,-0.997,0.311,0.17,-1.43
돈암1동,7.9,11.2,13.5,15.1,10.3,3.71,3.63,3.63,3.78,2.93,,40.6,20.9,12.1,-31.8,-0.521,-0.526,-0.51,-0.501,-0.494,-1.214,-1.188,-1.062,-0.886,-0.934,1.182,1.847,2.05,-1.963
돈암2동,11.4,15.7,14.2,13.8,13.1,6.15,5.9,5.16,4.47,4.2,,37.6,-9.7,-2.3,-5.0,-0.513,-0.517,-0.509,-0.504,-0.487,-0.87,-0.831,-0.822,-0.773,-0.709,1.057,-0.457,0.69,0.635
동선동,636.9,686.9,783.0,746.5,640.3,32.38,29.36,28.68,25.82,23.83,,7.8,14.0,-4.7,-14.2,0.796,0.863,1.03,1.055,0.952,2.83,2.852,2.87,2.744,2.754,-0.19,1.327,0.463,-0.257
동화동,59.0,70.1,63.5,79.3,89.1,9.15,10.09,9.72,13.22,9.68,,18.7,-9.4,24.9,12.3,-0.414,-0.405,-0.41,-0.365,-0.313,-0.446,-0.173,-0.106,0.669,0.257,0.266,-0.434,3.259,2.312
둔촌2동,62.9,77.9,71.9,62.2,50.7,7.38,6.82,6.23,5.49,4.88,,23.7,-7.6,-13.5,-18.5,-0.405,-0.389,-0.393,-0.401,-0.401,-0.696,-0.687,-0.654,-0.605,-0.589,0.475,-0.299,-0.368,-0.674
