코드,주말_총인구,주말_20대인구,평일_총인구,평일_20대인구,주말집중도,20대주말집중도,행정동,구역유형
11215740,14902.344531891025,2651.4541573717947,14290.560659532828,2450.5504071969694,1.0428103478186557,1.0819831126855401,중곡1동,주거형
11215750,17893.06272067308,2834.308169711538,17378.414604292928,2644.7426827651516,1.0296142155713686,1.0716763442363286,중곡2동,주거형
11215760,15368.867437820512,2122.977002403846,14761.091009532829,1986.6355267045456,1.0411742213292483,1.0686293353091623,중곡3동,주거형
11215770,24016.031577564103,3215.9882307692305,23136.0525927399,2970.7974821969697,1.038034966479128,1.0825336462823905,중곡4동,주거형
11215780,15007.807598878206,2935.1786766025643,15248.291532575757,3062.45962114899,0.9842287948663762,0.9584383272623618,능동,주거형
11215810,34805.19739166667,3781.801852724359,34285.94549880051,3571.5786820075755,1.0151447447434205,1.0588600138576865,광장동,주거형
11215820,23827.46170048077,4722.040483173077,24368.779115593432,4726.194684974747,0.9777864367950105,0.9991210260942323,자양1동,주거형
11215830,21516.297522435896,2881.727646474359,20913.389367045453,2683.586825189394,1.0288288112849122,1.0738343248018374,자양2동,주거형
11215840,27147.056874358972,4057.7502400641024,26304.136034343435,3824.45098895202,1.0320451825110315,1.0610020240254174,자양3동,주거형
11215847,27167.305526442306,5870.188326602564,25839.967008017677,5342.791031565657,1.0513676553074847,1.0987119451090264,자양4동,주거형
11215850,22039.623899839742,4357.712128205128,21993.11856635101,4129.058595896465,1.00211454020713,1.0553766741251633,구의1동,주거형
11215860,19893.559946634614,2532.787306570513,18809.160261111112,2326.4257280303027,1.0576527431565115,1.0887032738908577,구의2동,주거형
11215870,28287.858438461542,3755.1921136217948,28395.78261597222,3734.618856565656,0.9961992885010335,1.0055087969740124,구의3동,주거형
11230536,39538.17413894231,7276.80501875,41875.38344766414,7537.923675631313,0.9441865574402949,0.9653593392401332,용신동,혼합형
11230545,30356.717431089746,6532.747098717949,31411.99930315657,6827.082875063132,0.9664051351242461,0.9568870362742651,제기동,주거형
11230560,34630.963424358975,6588.010759134616,33335.330491603534,6294.05605864899,1.0388666592965619,1.0467035402523446,전농1동,주거형
11230570,14417.167471474359,1851.7282096153847,15053.43416344697,2280.2709233585856,0.9577327880758528,0.8120650009815478,전농2동,주거형
11230600,23027.573680608974,2948.96404599359,22693.99008074495,2837.588879229798,1.0146992044447511,1.0392499306643823,답십리1동,주거형
11230610,20154.046445352564,2219.9628790064103,19377.871717676768,2136.0217670454545,1.0400546942917244,1.0392978729224578,답십리2동,주거형
11230650,33387.09856522436,4551.785188141026,34633.05140037879,4669.762554482323,0.9640241681060537,0.9747358961050268,장안1동,주거형
11230660,28476.777978846152,3351.0297693910256,27750.13352986111,3144.652576578283,1.0261852595485035,1.065627978858416,장안2동,주거형
11230705,19669.469869871795,3112.2628556089744,19222.00246527778,3053.5337472222222,1.023278917240923,1.0192331617229309,청량리동,주거형
11230710,15599.583960416667,5878.12645625,18206.227098926767,6603.565008901514,0.8568268359860369,0.8901444065934638,회기동,혼합형
11230720,16511.724744391024,5195.716323557693,16366.997657765152,5024.721559532828,1.008842616688297,1.034030694437278,휘경1동,주거형
11230730,17264.709692467946,4236.597033814102,17171.67623213384,4129.265261426767,1.0054178438421761,1.025992946830025,휘경2동,주거형
11230740,20938.76669326923,8203.058271634614,22382.671440151516,9106.595142361111,0.9354900619998329,0.9007821412282272,이문1동,혼합형
11230750,13626.516715064101,1879.2995339743588,13162.970582828284,1797.9563777777778,1.0352159210049845,1.0452420076493285,이문2동,주거형
11260520,19291.488524358974,2359.260339102564,18530.761171780305,2157.3081426136364,1.0410521373367625,1.0936130506809552,면목2동,주거형
11260540,15831.740622916668,1892.4176806089743,15207.751092171717,1741.8409539141414,1.041031019442852,1.0864468861846814,면목4동,주거형
11260550,12374.719886698718,1329.9417897435899,11408.509557070707,1201.8339260732323,1.0846920734732766,1.106593648998515,면목5동,주거형
11260565,27811.47537451923,4061.2699235576924,26143.68494311869,3783.14433604798,1.0637932424227565,1.0735170437087402,면목본동,주거형
11260570,16262.554959455128,1967.958090544872,15201.218761363636,1802.598405492424,1.069819151658356,1.0917340681921195,면목7동,주거형
11260575,20318.232456891023,2941.4454469551283,19973.40642695707,2899.3995514520198,1.0172642574112225,1.0145015872276217,면목3·8동,주거형
11260580,15969.746297435897,2044.1602298076923,15861.038354229799,1917.725951199495,1.0068537721666317,1.065929273434046,상봉1동,주거형
11260590,26061.70738301282,5374.8580923076925,24219.375361616163,4762.774145580808,1.0760685192697603,1.1285141659078697,상봉2동,주거형
11260600,15843.864472916666,1891.1629125,15848.649650568183,1809.5878244949495,0.9996980703241588,1.045079374927723,중화1동,주거형
11260610,24680.44348397436,3253.231453205128,23219.56177878788,2993.9991155303032,1.0629159895050673,1.086583972697303,중화2동,주거형
11260620,25036.924868429487,3210.1943435897438,23883.026364520203,2948.210848106061,1.0483145848561084,1.0888618585919598,묵1동,주거형
11260630,18273.21995176282,2578.2205267628206,17089.372957386364,2340.524258459596,1.0692738696339807,1.1015568488316645,묵2동,주거형
11260655,41789.98210080128,4972.1239251602565,40041.960885290406,4607.800226199494,1.0436547356039454,1.079066730560334,망우본동,주거형
