도착_행정동코드,연도,분기,연도분기,연령대,HE_이동인구,WE_이동인구,EE_이동인구,합계_이동인구
1101053,2024,4,2024Q4,10,54217.82,5633.1,49022.74,108873.66
1101053,2024,4,2024Q4,20,52592.84,8303.64,102548.3,163444.78
1101053,2024,4,2024Q4,30,70546.05,15319.68,111874.22,197739.95
1101053,2024,4,2024Q4,40,113657.48,23485.0,114725.92,251868.39999999997
1101053,2024,4,2024Q4,50,113900.62,25885.94,117436.83,257223.39
1101053,2024,4,2024Q4,60,130004.66,20767.52,119423.84,270196.02
1101053,2024,4,2024Q4,70,88022.88,8081.12,61835.57,157939.57
1101053,2024,4,2024Q4,80,54383.21,3197.53,26692.22,84272.95999999999
1101054,2020,1,2020Q1,0,2878.59,0.0,3627.64,6506.23
1101054,2020,1,2020Q1,10,5621.36,339.35,6120.87,12081.58
1101054,2020,1,2020Q1,20,4887.58,908.65,20856.57,26652.8
1101054,2020,1,2020Q1,30,7534.04,1791.19,17384.63,26709.86
1101054,2020,1,2020Q1,40,15338.88,3129.18,18117.37,36585.42999999999
1101054,2020,1,2020Q1,50,13285.46,2410.83,15933.39,31629.68
1101054,2020,1,2020Q1,60,8091.11,1163.76,9252.98,18507.85
1101054,2020,1,2020Q1,70,3477.77,371.01,3218.48,7067.26
1101054,2020,1,2020Q1,80,1466.57,192.26,1704.21,3363.04
1101054,2020,2,2020Q2,0,3463.91,137.01,2987.87,6588.79
1101054,2020,2,2020Q2,10,7141.24,336.49,6393.23,13870.96
1101054,2020,2,2020Q2,20,6432.83,1069.21,29695.6,37197.64
1101054,2020,2,2020Q2,30,10927.36,2019.72,23566.21,36513.29
1101054,2020,2,2020Q2,40,20237.579999999998,3889.61,19683.91,43811.1
1101054,2020,2,2020Q2,50,17303.92,2965.95,16870.29,37140.16
1101054,2020,2,2020Q2,60,10435.76,1453.68,9476.74,21366.18
1101054,2020,2,2020Q2,70,4917.74,446.9,3244.87,8609.509999999998
1101054,2020,2,2020Q2,80,2122.33,134.0,2319.4900000000002,4575.82
1101054,2020,3,2020Q3,0,2611.12,147.95000000000002,3049.9,5808.969999999999
1101054,2020,3,2020Q3,10,6149.43,380.28,5666.45,12196.16
1101054,2020,3,2020Q3,20,5428.68,967.97,24226.25,30622.9
1101054,2020,3,2020Q3,30,8845.24,1800.67,19355.93,30001.84
1101054,2020,3,2020Q3,40,17085.02,3546.07,17600.96,38232.05
1101054,2020,3,2020Q3,50,14768.42,3019.7599999999998,14568.84,32357.02
1101054,2020,3,2020Q3,60,8824.23,1329.77,7523.45,17677.45
1101054,2020,3,2020Q3,70,4034.4,509.57,2809.4700000000003,7353.4400000000005
1101054,2020,3,2020Q3,80,1949.59,212.29,1636.95,3798.83
1101054,2020,4,2020Q4,0,3830.81,108.49000000000001,4363.48,8302.779999999999
1101054,2020,4,2020Q4,10,5574.21,411.9,6021.91,12008.02
1101054,2020,4,2020Q4,20,5324.64,752.99,24498.5,30576.13
1101054,2020,4,2020Q4,30,9572.78,1557.41,20365.39,31495.58
1101054,2020,4,2020Q4,40,18546.24,3373.21,19766.13,41685.58
1101054,2020,4,2020Q4,50,17326.68,3055.64,18803.79,39186.11
1101054,2020,4,2020Q4,60,11257.75,1552.26,11845.94,24655.95
1101054,2020,4,2020Q4,70,5094.56,411.67,3502.9900000000002,9009.220000000001
1101054,2020,4,2020Q4,80,2030.79,123.8,2139.49,4294.08
1101054,2021,1,2021Q1,0,3936.43,56.08,3904.04,7896.549999999999
1101054,2021,1,2021Q1,10,6880.51,309.7,6176.52,13366.73
1101054,2021,1,2021Q1,20,5591.03,644.88,24738.87,30974.78
1101054,2021,1,2021Q1,30,8655.52,1450.99,19001.31,29107.82
1101054,2021,1,2021Q1,40,17937.01,3007.05,17859.39,38803.45
1101054,2021,1,2021Q1,50,16164.39,2859.33,15028.4,34052.12
1101054,2021,1,2021Q1,60,9870.68,1246.07,8783.289999999999,19900.04
1101054,2021,1,2021Q1,70,4127.97,360.16,2701.39,7189.52
1101054,2021,1,2021Q1,80,2532.36,236.18,1673.92,4442.46
1101054,2021,2,2021Q2,0,6941.48,362.94,8462.81,15767.23
1101054,2021,2,2021Q2,10,8406.43,594.24,8363.15,17363.82
1101054,2021,2,2021Q2,20,6593.73,1039.12,35530.12,43162.97
1101054,2021,2,2021Q2,30,11345.619999999999,2194.24,29200.9,42740.76
1101054,2021,2,2021Q2,40,22814.26,4125.7,25771.55,52711.509999999995
1101054,2021,2,2021Q2,50,17928.98,3570.84,20942.84,42442.66
1101054,2021,2,2021Q2,60,11781.54,1735.39,12294.24,25811.17
1101054,2021,2,2021Q2,70,5309.0,609.11,4312.51,10230.619999999999
1101054,2021,2,2021Q2,80,2732.91,210.94,2405.22,5349.07
1101054,2021,3,2021Q3,0,4337.56,211.67000000000002,5498.55,10047.78
1101054,2021,3,2021Q3,10,6456.01,439.2,6296.97,13192.18
1101054,2021,3,2021Q3,20,5096.59,776.44,25570.829999999998,31443.86
1101054,2021,3,2021Q3,30,9431.31,1699.94,21374.48,32505.73
1101054,2021,3,2021Q3,40,18042.62,3029.18,19983.01,41054.81
1101054,2021,3,2021Q3,50,15397.48,2794.7,15065.49,33257.67
1101054,2021,3,2021Q3,60,10184.95,1279.27,9189.16,20653.38
1101054,2021,3,2021Q3,70,4871.43,535.88,2829.5099999999998,8236.82
1101054,2021,3,2021Q3,80,3382.4900000000002,329.03,1801.65,5513.17
1101054,2021,4,2021Q4,0,6681.969999999999,336.69,8609.81,15628.469999999998
1101054,2021,4,2021Q4,10,8163.38,555.54,10495.49,19214.41
1101054,2021,4,2021Q4,20,6867.389999999999,895.99,35895.13,43658.509999999995
1101054,2021,4,2021Q4,30,12519.93,2055.52,29664.46,44239.91
1101054,2021,4,2021Q4,40,22673.65,3820.76,28141.54,54635.950000000004
1101054,2021,4,2021Q4,50,21867.12,3706.63,26208.55,51782.3
1101054,2021,4,2021Q4,60,14338.84,1655.76,15789.34,31783.940000000002
1101054,2021,4,2021Q4,70,5846.9,592.5,4574.44,11013.84
1101054,2021,4,2021Q4,80,3618.97,201.95,2608.83,6429.75
1101054,2022,1,2022Q1,0,4788.81,276.65999999999997,6317.12,11382.59
1101054,2022,1,2022Q1,10,7136.4,449.86,8488.84,16075.099999999999
1101054,2022,1,2022Q1,20,5489.41,696.4399999999999,28825.2,35011.05
1101054,2022,1,2022Q1,30,8965.73,1345.07,21643.93,31954.73
1101054,2022,1,2022Q1,40,17651.83,2979.59,19613.97,40245.39
1101054,2022,1,2022Q1,50,16984.09,2796.5099999999998,17183.5,36964.1
1101054,2022,1,2022Q1,60,11096.27,1154.21,10482.63,22733.11
1101054,2022,1,2022Q1,70,4745.74,423.64,3247.15,8416.53
1101054,2022,1,2022Q1,80,3221.64,288.05,2066.92,5576.610000000001
1101054,2022,2,2022Q2,0,11937.41,702.27,22337.81,34977.490000000005
1101054,2022,2,2022Q2,10,11233.03,858.83,16475.62,28567.48
1101054,2022,2,2022Q2,20,9296.44,906.02,50510.14,60712.6
1101054,2022,2,2022Q2,30,15476.71,1984.25,48336.45,65797.41
