period,group,ratio
2024-08-01,서촌,16.04055
2024-09-01,서촌,18.75355
2024-10-01,서촌,24.49519
2024-11-01,서촌,21.2154
2024-12-01,서촌,14.64575
2020-01-01,한남동,21.67402
2020-02-01,한남동,16.23042
2020-03-01,한남동,17.23607
2020-04-01,한남동,20.56974
2020-05-01,한남동,16.96114
2020-06-01,한남동,17.06609
2020-07-01,한남동,22.5117
2020-08-01,한남동,18.15048
2020-09-01,한남동,14.92095
2020-10-01,한남동,24.09395
2020-11-01,한남동,19.24697
2020-12-01,한남동,9.59318
2021-01-01,한남동,14.50506
2021-02-01,한남동,18.80636
2021-03-01,한남동,23.2005
2021-04-01,한남동,22.63734
2021-05-01,한남동,23.82762
2021-06-01,한남동,22.15924
2021-07-01,한남동,17.33886
2021-08-01,한남동,19.1603
2021-09-01,한남동,19.7506
2021-10-01,한남동,40.05119
2021-11-01,한남동,48.16949
2021-12-01,한남동,39.50644
2022-01-01,한남동,35.98263
2022-02-01,한남동,26.47478
2022-03-01,한남동,29.51659
2022-04-01,한남동,31.95506
2022-05-01,한남동,36.12762
2022-06-01,한남동,32.99444
2022-07-01,한남동,34.25553
2022-08-01,한남동,34.0486
2022-09-01,한남동,34.13392
2022-10-01,한남동,34.93963
2022-11-01,한남동,24.12257
2022-12-01,한남동,26.55876
2023-01-01,한남동,28.34109
2023-02-01,한남동,100.0
2023-03-01,한남동,81.49369
2023-04-01,한남동,59.54716
2023-05-01,한남동,59.20813
2023-06-01,한남동,49.53674
2023-07-01,한남동,43.63117
2023-08-01,한남동,33.74129
2023-09-01,한남동,28.65687
2023-10-01,한남동,26.85573
2023-11-01,한남동,24.03805
2023-12-01,한남동,25.60068
2024-01-01,한남동,23.28301
2024-02-01,한남동,26.6027
2024-03-01,한남동,35.39273
2024-04-01,한남동,26.50165
2024-05-01,한남동,26.20106
2024-06-01,한남동,26.63683
2024-07-01,한남동,24.88568
2024-08-01,한남동,23.05686
2024-09-01,한남동,25.02072
2024-10-01,한남동,26.48459
2024-11-01,한남동,22.69351
2024-12-01,한남동,23.40273
2020-01-01,북촌,13.07963
2020-02-01,북촌,6.99023
2020-03-01,북촌,6.46604
2020-04-01,북촌,9.63846
2020-05-01,북촌,11.00827
2020-06-01,북촌,7.75213
2020-07-01,북촌,10.44
2020-08-01,북촌,7.27148
2020-09-01,북촌,7.08523
2020-10-01,북촌,12.1069
2020-11-01,북촌,9.30723
2020-12-01,북촌,3.81593
2021-01-01,북촌,5.73895
2021-02-01,북촌,10.6773
2021-03-01,북촌,10.46714
2021-04-01,북촌,10.14263
2021-05-01,북촌,12.90696
2021-06-01,북촌,16.61043
2021-07-01,북촌,6.47316
2021-08-01,북촌,7.8994
2021-09-01,북촌,11.51794
2021-10-01,북촌,13.47912
2021-11-01,북촌,11.44296
2021-12-01,북촌,8.78116
2022-01-01,북촌,11.51781
2022-02-01,북촌,9.68603
2022-03-01,북촌,10.50974
2022-04-01,북촌,14.27287
2022-05-01,북촌,17.64483
2022-06-01,북촌,13.85389
2022-07-01,북촌,12.52333
2022-08-01,북촌,15.14952
2022-09-01,북촌,16.34074
2022-10-01,북촌,18.47849
2022-11-01,북촌,15.18472
2022-12-01,북촌,11.3575
2023-01-01,북촌,12.68121
2023-02-01,북촌,14.4708
2023-03-01,북촌,13.54483
2023-04-01,북촌,14.07507
2023-05-01,북촌,12.79234
2023-06-01,북촌,10.03392
2023-07-01,북촌,9.03795
2023-08-01,북촌,9.14504
2023-09-01,북촌,11.28145
2023-10-01,북촌,14.10611
2023-11-01,북촌,9.23803
2023-12-01,북촌,8.5014
2024-01-01,북촌,9.40318
2024-02-01,북촌,10.21224
2024-03-01,북촌,10.75215
2024-04-01,북촌,10.92388
2024-05-01,북촌,10.79649
2024-06-01,북촌,8.54856
2024-07-01,북촌,9.25321
2024-08-01,북촌,8.06482
2024-09-01,북촌,9.75779
2024-10-01,북촌,12.23429
2024-11-01,북촌,10.93288
2024-12-01,북촌,8.26463
2020-01-01,합정망원,14.74828
2020-02-01,합정망원,13.34273
2020-03-01,합정망원,12.94915
2020-04-01,합정망원,14.33266
2020-05-01,합정망원,14.82958
2020-06-01,합정망원,12.3864
2020-07-01,합정망원,15.60639
2020-08-01,합정망원,12.4376
2020-09-01,합정망원,9.72352
2020-10-01,합정망원,13.70272
2020-11-01,합정망원,10.99913
2020-12-01,합정망원,4.27643
2021-01-01,합정망원,7.97519
2021-02-01,합정망원,12.88197
2021-03-01,합정망원,14.00452
2021-04-01,합정망원,12.82553
2021-05-01,합정망원,15.03423
2021-06-01,합정망원,14.31614
2021-07-01,합정망원,10.9568
2021-08-01,합정망원,12.71548
2021-09-01,합정망원,13.22677
2021-10-01,합정망원,13.94083
2021-11-01,합정망원,12.64413
2021-12-01,합정망원,12.12115
2022-01-01,합정망원,14.25379
2022-02-01,합정망원,11.7058
2022-03-01,합정망원,12.662
2022-04-01,합정망원,13.95198
2022-05-01,합정망원,15.16202
2022-06-01,합정망원,13.95682
2022-07-01,합정망원,15.66618
2022-08-01,합정망원,15.09698
2022-09-01,합정망원,13.35698
2022-10-01,합정망원,14.08327
2022-11-01,합정망원,12.34313
2022-12-01,합정망원,13.86464
2023-01-01,합정망원,14.58864
2023-02-01,합정망원,14.05881
2023-03-01,합정망원,13.72798
2023-04-01,합정망원,12.87162
2023-05-01,합정망원,12.91704
2023-06-01,합정망원,12.39406
2023-07-01,합정망원,12.96864
2023-08-01,합정망원,14.65623
2023-09-01,합정망원,11.08755
2023-10-01,합정망원,12.38277
2023-11-01,합정망원,10.95801
2023-12-01,합정망원,12.62585
2024-01-01,합정망원,12.62545
2024-02-01,합정망원,11.83144
2024-03-01,합정망원,12.91785
2024-04-01,합정망원,12.17785
2024-05-01,합정망원,12.14789
2024-06-01,합정망원,11.04777
2024-07-01,합정망원,11.26505
2024-08-01,합정망원,12.18497
2024-09-01,합정망원,10.96164
2024-10-01,합정망원,11.0862
2024-11-01,합정망원,9.91474
2024-12-01,합정망원,10.91152
2020-01-01,대학로,25.27509
2020-02-01,대학로,14.78644
2020-03-01,대학로,9.19772
2020-04-01,대학로,11.39069
2020-05-01,대학로,12.90427
2020-06-01,대학로,10.65459
2020-07-01,대학로,13.87915
2020-08-01,대학로,11.91757
2020-09-01,대학로,7.37172
2020-10-01,대학로,12.31706
2020-11-01,대학로,11.28346
2020-12-01,대학로,5.00393
2021-01-01,대학로,7.04049
2021-02-01,대학로,10.91985
2021-03-01,대학로,12.51069
2021-04-01,대학로,11.87887
2021-05-01,대학로,14.54833
2021-06-01,대학로,12.61134
2021-07-01,대학로,9.57302
2021-08-01,대학로,12.42953
2021-09-01,대학로,11.7574
2021-10-01,대학로,14.44943
2021-11-01,대학로,15.47202
2021-12-01,대학로,15.2335
2022-01-01,대학로,14.18579
2022-02-01,대학로,11.26693
2022-03-01,대학로,11.85334
2022-04-01,대학로,14.89757
2022-05-01,대학로,20.00604
2022-06-01,대학로,18.07872
2022-07-01,대학로,20.81604
2022-08-01,대학로,20.29185
2022-09-01,대학로,17.89611
2022-10-01,대학로,20.94155
2022-11-01,대학로,18.66123
2022-12-01,대학로,21.71057
2023-01-01,대학로,19.42085
2023-02-01,대학로,19.14027
2023-03-01,대학로,17.23634
2023-04-01,대학로,16.36116
2023-05-01,대학로,18.58773
2023-06-01,대학로,15.77476
2023-07-01,대학로,19.00268
2023-08-01,대학로,18.91587
2023-09-01,대학로,15.48263
2023-10-01,대학로,17.21873
2023-11-01,대학로,15.77019
2023-12-01,대학로,20.0864
2024-01-01,대학로,17.7698
2024-02-01,대학로,15.75447
2024-03-01,대학로,14.90711
2024-04-01,대학로,13.38385
2024-05-01,대학로,15.75044
2024-06-01,대학로,14.56325
2024-07-01,대학로,16.36345
2024-08-01,대학로,16.418
2024-09-01,대학로,13.23886
2024-10-01,대학로,14.21226
2024-11-01,대학로,14.05989
2024-12-01,대학로,18.56247
2020-01-01,잠실,50.45329
2020-02-01,잠실,37.13032
2020-03-01,잠실,32.5013
2020-04-01,잠실,35.53433
2020-05-01,잠실,39.58277
2020-06-01,잠실,36.43027
2020-07-01,잠실,44.09755
2020-08-01,잠실,39.0617
2020-09-01,잠실,27.29211
2020-10-01,잠실,43.3879
2020-11-01,잠실,39.15923
2020-12-01,잠실,22.2124
2021-01-01,잠실,29.50794
2021-02-01,잠실,38.96292
2021-03-01,잠실,45.17038
2021-04-01,잠실,43.03788
2021-05-01,잠실,47.71305
2021-06-01,잠실,46.2831
2021-07-01,잠실,36.41544
2021-08-01,잠실,39.50508
2021-09-01,잠실,41.34562
2021-10-01,잠실,49.66637
2021-11-01,잠실,52.53734
2021-12-01,잠실,55.86819
2022-01-01,잠실,52.47009
2022-02-01,잠실,41.22219
2022-03-01,잠실,46.69598
2022-04-01,잠실,74.73158
2022-05-01,잠실,61.96643
2022-06-01,잠실,59.91767
2022-07-01,잠실,70.52045
2022-08-01,잠실,69.61219
2022-09-01,잠실,62.69445
2022-10-01,잠실,73.77591
2022-11-01,잠실,69.71202
2022-12-01,잠실,100.0
2023-01-01,잠실,73.39916
2023-02-01,잠실,66.70718
2023-03-01,잠실,66.89347
2023-04-01,잠실,73.00298
2023-05-01,잠실,66.31372
2023-06-01,잠실,66.25482
2023-07-01,잠실,75.01206
2023-08-01,잠실,77.58898
2023-09-01,잠실,59.65515
2023-10-01,잠실,61.22545
2023-11-01,잠실,67.51248
2023-12-01,잠실,94.0799
2024-01-01,잠실,61.93802
2024-02-01,잠실,61.53997
2024-03-01,잠실,61.78348
2024-04-01,잠실,66.25482
2024-05-01,잠실,61.73565
2024-06-01,잠실,57.11436
2024-07-01,잠실,67.20318
2024-08-01,잠실,69.72184
2024-09-01,잠실,59.72887
2024-10-01,잠실,55.79196
2024-11-01,잠실,58.90895
2024-12-01,잠실,82.69374
2020-01-01,낙성대,10.52008
2020-02-01,낙성대,12.38923
2020-03-01,낙성대,9.23924
2020-04-01,낙성대,9.47732
2020-05-01,낙성대,10.2632
2020-06-01,낙성대,9.80228
2020-07-01,낙성대,10.03138
2020-08-01,낙성대,10.55725
2020-09-01,낙성대,8.75556
2020-10-01,낙성대,10.27218
2020-11-01,낙성대,9.24049
2020-12-01,낙성대,7.50918
2021-01-01,낙성대,8.11336
