period,group,ratio,anchor_ratio,adjusted_ratio
2022-05-01,보라매,5.19301,10.56803,49.14
2022-06-01,보라매,4.20967,13.10463,32.12
2022-07-01,보라매,5.79095,13.30983,43.51
2022-08-01,보라매,6.18107,24.57263,25.15
2022-09-01,보라매,4.13775,11.88545,34.81
2022-10-01,보라매,4.78893,12.16849,39.36
2022-11-01,보라매,4.18145,11.06362,37.79
2022-12-01,보라매,2.90401,12.94763,22.43
2023-01-01,보라매,2.90672,12.4425,23.36
2023-02-01,보라매,3.26912,10.42811,31.35
2023-03-01,보라매,4.90072,10.79624,45.39
2023-04-01,보라매,5.88115,11.09697,53.0
2023-05-01,보라매,4.63053,22.22307,20.84
2023-06-01,보라매,3.80448,11.7625,32.34
2023-07-01,보라매,3.43857,16.50774,20.83
2023-08-01,보라매,5.17754,14.98302,34.56
2023-09-01,보라매,3.90734,12.22414,31.96
2023-10-01,보라매,4.34658,12.8723,33.77
2023-11-01,보라매,3.08903,14.54418,21.24
2023-12-01,보라매,2.8341,15.42547,18.37
2024-01-01,보라매,2.83159,14.06366,20.13
2024-02-01,보라매,2.93063,12.93166,22.66
2024-03-01,보라매,3.81051,12.11918,31.44
2024-04-01,보라매,5.24635,11.8761,44.18
2024-05-01,보라매,4.18336,12.49001,33.49
2024-06-01,보라매,3.79896,12.20114,31.14
2024-07-01,보라매,3.54896,16.73806,21.2
2024-08-01,보라매,3.09365,12.33523,25.08
2024-09-01,보라매,3.44681,11.73177,29.38
2024-10-01,보라매,4.04083,11.86586,34.05
2024-11-01,보라매,3.26681,12.38133,26.38
2024-12-01,보라매,2.63663,12.52567,21.05
2020-01-01,신길,3.30402,,
2020-02-01,신길,3.09495,,
2020-03-01,신길,3.73266,,
2020-04-01,신길,3.14535,,
2020-05-01,신길,3.11025,,
2020-06-01,신길,3.15674,,
2020-07-01,신길,4.41386,,
2020-08-01,신길,3.21254,,
2020-09-01,신길,2.92758,,
2020-10-01,신길,3.21104,,
2020-11-01,신길,3.04786,,
2020-12-01,신길,2.50344,,
2021-01-01,신길,3.20084,,
2021-02-01,신길,2.83849,,
2021-03-01,신길,3.29202,,
2021-04-01,신길,3.22303,,
2021-05-01,신길,3.19934,,
2021-06-01,신길,3.04366,,
2021-07-01,신길,2.88828,,
2021-08-01,신길,2.88078,,
2021-09-01,신길,2.744,,
2021-10-01,신길,2.86489,,
2021-11-01,신길,3.18014,,
2021-12-01,신길,2.7596,,
2022-01-01,신길,8.8889,55.02571,16.15
2022-02-01,신길,7.80487,47.23269,16.52
2022-03-01,신길,8.83781,39.13882,22.58
2022-04-01,신길,10.38047,29.31916,35.41
2022-05-01,신길,11.25971,43.00733,26.18
2022-06-01,신길,9.96721,53.33017,18.69
2022-07-01,신길,9.6169,54.16527,17.75
2022-08-01,신길,10.92249,100.0,10.92
2022-09-01,신길,9.44523,48.36863,19.53
2022-10-01,신길,10.97971,49.52052,22.17
2022-11-01,신길,10.27624,45.02415,22.82
2022-12-01,신길,9.36266,52.69127,17.77
2023-01-01,신길,9.00049,50.63562,17.78
2023-02-01,신길,9.66187,42.43792,22.77
2023-03-01,신길,10.58689,43.93603,24.1
2023-04-01,신길,9.87892,45.15986,21.88
2023-05-01,신길,9.5327,90.43827,10.54
2023-06-01,신길,8.80674,47.86831,18.4
2023-07-01,신길,11.86018,67.17938,17.65
2023-08-01,신길,9.19302,60.9744,15.08
2023-09-01,신길,8.93305,49.74697,17.96
2023-10-01,신길,10.08412,52.3847,19.25
2023-11-01,신길,9.21918,59.18852,15.58
2023-12-01,신길,9.01725,62.77499,14.36
2024-01-01,신길,8.83004,57.23301,15.43
2024-02-01,신길,8.49077,52.62628,16.13
2024-03-01,신길,9.32873,49.31982,18.91
2024-04-01,신길,9.62017,48.33062,19.9
2024-05-01,신길,9.78899,50.82896,19.26
2024-06-01,신길,8.68738,49.65337,17.5
2024-07-01,신길,8.50753,68.11667,12.49
2024-08-01,신길,10.23618,50.19906,20.39
2024-09-01,신길,8.22875,47.74323,17.24
2024-10-01,신길,9.7518,48.28892,20.19
2024-11-01,신길,8.62403,50.38668,17.12
2024-12-01,신길,11.71916,50.97407,22.99
2020-01-01,신림,27.34828,,
2020-02-01,신림,23.64201,,
2020-03-01,신림,22.89032,,
2020-04-01,신림,21.91096,,
2020-05-01,신림,22.46528,,
