행정동,연도,분기,나이,이동인구
성수2가1동,2024,2,80,38911.68
성수2가1동,2024,3,0,29908.88
성수2가1동,2024,3,10,22383.100000000002
성수2가1동,2024,3,15,48801.159999999996
성수2가1동,2024,3,20,58234.72
성수2가1동,2024,3,25,83019.35
성수2가1동,2024,3,30,61339.1
성수2가1동,2024,3,35,61263.86
성수2가1동,2024,3,40,69288.0
성수2가1동,2024,3,45,59567.01
성수2가1동,2024,3,50,73820.69
성수2가1동,2024,3,55,84335.5
성수2가1동,2024,3,60,88832.02
성수2가1동,2024,3,65,67854.35
성수2가1동,2024,3,70,32755.69
성수2가1동,2024,3,75,23316.489999999998
성수2가1동,2024,3,80,35341.19
성수2가1동,2024,4,0,32154.27
성수2가1동,2024,4,10,26486.18
성수2가1동,2024,4,15,57860.69
성수2가1동,2024,4,20,68112.31999999999
성수2가1동,2024,4,25,97159.78
성수2가1동,2024,4,30,72497.81
성수2가1동,2024,4,35,68008.06
성수2가1동,2024,4,40,76220.31999999999
성수2가1동,2024,4,45,63818.87
성수2가1동,2024,4,50,75530.45
성수2가1동,2024,4,55,86271.3
성수2가1동,2024,4,60,91873.81999999999
성수2가1동,2024,4,65,70504.95
성수2가1동,2024,4,70,34481.26
성수2가1동,2024,4,75,22832.38
성수2가1동,2024,4,80,38617.36
여의동,2020,1,0,101155.83
여의동,2020,1,10,86632.11
여의동,2020,1,15,158234.13999999998
여의동,2020,1,20,128911.49
여의동,2020,1,25,263415.82
여의동,2020,1,30,241833.14
여의동,2020,1,35,312658.52
여의동,2020,1,40,317815.61
여의동,2020,1,45,334068.47
여의동,2020,1,50,285854.05
여의동,2020,1,55,270388.69
여의동,2020,1,60,249797.36
여의동,2020,1,65,181932.52
여의동,2020,1,70,131996.8
여의동,2020,1,75,109799.27
여의동,2020,1,80,120984.43000000001
여의동,2020,2,0,112222.39
여의동,2020,2,10,90672.78
여의동,2020,2,15,191134.86
여의동,2020,2,20,182220.64
여의동,2020,2,25,342949.94
여의동,2020,2,30,287037.72
여의동,2020,2,35,334702.33
여의동,2020,2,40,331384.12
여의동,2020,2,45,332984.47
여의동,2020,2,50,294862.06
여의동,2020,2,55,275713.38
여의동,2020,2,60,251962.19
여의동,2020,2,65,176388.35
여의동,2020,2,70,124241.71
여의동,2020,2,75,98615.02
여의동,2020,2,80,111277.25
여의동,2020,3,0,112025.23
여의동,2020,3,10,80113.68
여의동,2020,3,15,153933.21
여의동,2020,3,20,154202.98
여의동,2020,3,25,291225.83
여의동,2020,3,30,257049.59
여의동,2020,3,35,314651.09
여의동,2020,3,40,318227.04
여의동,2020,3,45,316630.57
여의동,2020,3,50,285092.96
여의동,2020,3,55,260116.86
여의동,2020,3,60,241273.33
여의동,2020,3,65,169185.3
여의동,2020,3,70,118618.18000000001
여의동,2020,3,75,98015.58
여의동,2020,3,80,112327.36
여의동,2020,4,0,93305.75
여의동,2020,4,10,78083.45
여의동,2020,4,15,132067.78
여의동,2020,4,20,112279.94
여의동,2020,4,25,230688.25
여의동,2020,4,30,220267.12
여의동,2020,4,35,279062.35
여의동,2020,4,40,295578.81
여의동,2020,4,45,294321.15
여의동,2020,4,50,272320.3
여의동,2020,4,55,252675.81
여의동,2020,4,60,236495.18
여의동,2020,4,65,169254.71
여의동,2020,4,70,118951.81
여의동,2020,4,75,95820.32
여의동,2020,4,80,111849.73
여의동,2021,1,0,112413.66
여의동,2021,1,10,83631.19
여의동,2021,1,15,170905.41999999998
여의동,2021,1,20,167718.25
여의동,2021,1,25,334987.70999999996
여의동,2021,1,30,292688.18
여의동,2021,1,35,324544.22
여의동,2021,1,40,329370.13
여의동,2021,1,45,316782.56
여의동,2021,1,50,289417.85
여의동,2021,1,55,259964.27
여의동,2021,1,60,239998.93
여의동,2021,1,65,169457.01
여의동,2021,1,70,119110.51
