행정동,20대매출_2020억,20대매출_2021억,20대매출_2022억,20대매출_2023억,20대매출_2024억,20대비중_2020%,20대비중_2021%,20대비중_2022%,20대비중_2023%,20대비중_2024%,20대성장률_2019v2020%,20대성장률_2020v2021%,20대성장률_2021v2022%,20대성장률_2022v2023%,20대성장률_2023v2024%
상도2동,91.0,102.0,96.1,81.8,74.6,12.13,10.63,9.59,7.74,7.01,,12.1,-5.8,-14.9,-8.7
상도3동,118.9,148.9,121.5,118.3,102.0,10.21,10.5,8.63,7.81,6.54,,25.2,-18.4,-2.6,-13.8
상도4동,90.2,77.0,73.8,63.4,57.4,10.02,8.81,8.04,7.04,6.77,,-14.6,-4.1,-14.1,-9.4
상봉1동,471.2,64.7,51.2,49.5,46.0,23.38,13.44,10.95,9.26,8.92,,-86.3,-20.8,-3.3,-7.1
상봉2동,522.5,445.3,468.3,471.6,401.1,24.34,19.28,17.9,16.7,14.52,,-14.8,5.2,0.7,-14.9
상암동,382.2,386.7,401.9,392.2,321.5,14.46,13.65,12.75,11.77,10.19,,1.2,3.9,-2.4,-18.0
상일동,40.1,52.1,41.3,38.1,31.3,6.08,6.54,6.1,5.46,3.98,,29.8,-20.7,-7.8,-17.8
서강동,365.1,362.9,433.8,444.1,401.6,30.44,28.5,30.73,29.69,28.13,,-0.6,19.5,2.4,-9.5
서교동,4037.7,4474.0,5178.0,5075.1,4972.5,40.95,38.67,37.65,35.33,34.21,,10.8,15.7,-2.0,-2.0
서림동,125.9,115.9,101.6,80.3,65.4,20.21,17.57,15.68,13.37,11.43,,-7.9,-12.3,-20.9,-18.6
서빙고동,5.0,8.8,10.3,7.5,6.0,3.3,4.12,5.8,4.91,4.52,,75.2,16.5,-27.3,-20.4
서원동,722.9,687.1,850.8,760.4,651.6,39.34,35.18,34.8,31.24,27.88,,-5.0,23.8,-10.6,-14.3
서초1동,260.3,242.2,236.1,205.5,191.7,11.08,9.4,8.67,7.4,6.84,,-7.0,-2.5,-12.9,-6.7
서초2동,477.2,636.7,694.6,623.5,529.8,13.27,13.11,12.78,11.27,9.81,,33.4,9.1,-10.2,-15.0
서초3동,585.0,608.1,606.3,560.1,486.8,10.22,8.88,8.0,7.04,6.23,,3.9,-0.3,-7.6,-13.1
서초4동,1496.0,1540.0,1722.4,1598.7,1437.9,25.86,21.92,22.51,19.65,18.4,,2.9,11.8,-7.2,-10.1
석관동,138.4,156.1,162.6,149.8,146.1,11.72,10.8,10.45,9.08,8.69,,12.7,4.2,-7.9,-2.5
석촌동,325.8,361.2,319.7,303.3,269.4,10.56,10.69,9.62,8.65,7.31,,10.9,-11.5,-5.1,-11.2
성내1동,117.6,135.4,109.6,102.8,94.3,7.58,7.39,6.47,5.44,5.21,,15.2,-19.0,-6.3,-8.3
성내2동,210.2,223.5,233.9,225.0,203.8,15.35,12.79,12.89,11.89,9.69,,6.3,4.7,-3.8,-9.4
성내3동,228.8,223.2,206.7,199.3,171.8,9.81,7.95,7.12,6.87,6.0,,-2.4,-7.4,-3.6,-13.8
성북동,61.1,84.3,75.4,65.3,64.6,9.5,8.2,7.39,6.21,5.75,,38.0,-10.6,-13.4,-1.1
성산1동,116.6,108.1,131.1,148.4,123.7,9.63,8.72,8.53,8.66,9.43,,-7.3,21.3,13.2,-16.6
성산2동,182.1,140.6,136.0,126.8,113.5,13.43,10.71,10.97,9.52,8.49,,-22.8,-3.2,-6.8,-10.5
성수1가1동,87.8,106.7,98.8,92.4,83.5,10.43,11.46,10.19,11.06,10.18,,21.6,-7.4,-6.5,-9.6
성수1가2동,226.8,321.6,370.6,334.8,323.9,12.82,14.09,15.69,13.22,12.84,,41.8,15.3,-9.7,-3.3
성수2가1동,320.4,318.6,723.6,797.7,604.0,14.84,14.4,21.78,23.94,18.77,,-0.6,127.1,10.2,-24.3
성수2가3동,612.2,639.1,824.4,819.3,850.2,17.09,15.8,17.17,17.36,17.63,,4.4,29.0,-0.6,3.8
성현동,33.1,53.3,39.2,31.4,20.7,10.72,4.9,4.71,7.58,4.93,,61.2,-26.5,-19.8,-34.1
세곡동,72.8,86.3,81.9,79.2,76.0,7.37,7.42,6.48,5.63,5.07,,18.5,-5.1,-3.3,-4.1
소공동,328.8,423.7,441.1,413.4,357.8,11.2,9.33,9.15,7.55,5.8,,28.9,4.1,-6.3,-13.4
송정동,22.5,42.7,38.5,28.6,23.5,11.78,14.11,12.86,10.25,8.1,,90.0,-10.0,-25.5,-17.8
송중동,508.3,502.7,469.0,406.6,364.7,17.38,15.28,15.34,13.34,11.51,,-1.1,-6.7,-13.3,-10.3
송천동,136.6,153.8,123.0,102.5,96.4,9.9,9.35,7.35,6.08,5.65,,12.6,-20.0,-16.7,-5.9
송파1동,312.9,374.8,376.5,353.1,345.2,13.52,14.21,14.01,13.1,12.64,,19.8,0.5,-6.2,-2.2
송파2동,65.3,70.2,69.9,58.3,52.7,7.75,5.75,5.75,5.5,5.1,,7.6,-0.5,-16.6,-9.6
수궁동,37.7,45.3,41.0,36.8,29.8,10.01,8.22,7.55,6.7,5.76,,20.2,-9.5,-10.3,-19.1
수색동,7.9,7.4,7.4,6.0,6.5,6.11,4.67,4.02,2.66,2.68,,-6.2,0.0,-18.7,7.8
수서동,223.5,190.1,201.4,191.4,155.1,10.52,8.85,8.4,7.96,6.88,,-14.9,5.9,-5.0,-19.0
수유1동,95.5,127.6,116.5,105.0,79.2,6.58,6.03,5.33,4.73,3.42,,33.5,-8.7,-9.9,-24.6
수유2동,79.2,74.9,67.1,63.5,50.3,9.99,8.54,7.05,6.5,4.94,,-5.4,-10.4,-5.4,-20.8
수유3동,486.5,663.8,699.6,665.6,555.2,20.86,21.6,20.61,18.53,15.25,,36.4,5.4,-4.9,-16.6
숭인1동,22.5,14.7,13.9,11.8,9.9,14.47,10.08,9.78,8.53,6.59,,-34.9,-5.5,-14.8,-15.9
숭인2동,133.8,138.9,154.1,133.6,112.6,15.68,12.51,13.39,10.69,9.41,,3.8,11.0,-13.3,-15.7
시흥1동,281.5,253.0,247.0,195.6,166.0,10.18,7.54,7.09,5.37,4.84,,-10.1,-2.4,-20.8,-15.1
시흥2동,8.6,7.8,7.2,5.9,6.8,3.92,4.95,4.42,3.28,3.49,,-9.1,-7.5,-17.9,14.8
시흥3동,32.3,32.3,30.0,26.5,21.4,6.8,5.87,5.44,5.54,4.88,,0.1,-7.1,-11.7,-19.2
시흥4동,35.2,46.5,43.6,35.1,28.9,8.97,8.85,8.29,7.01,5.64,,32.2,-6.1,-19.6,-17.5
시흥5동,80.2,89.5,88.2,77.9,58.9,8.7,8.1,7.31,6.45,5.37,,11.6,-1.4,-11.8,-24.3
신길1동,93.5,122.1,115.6,108.8,95.4,8.37,8.99,8.4,8.23,7.55,,30.5,-5.3,-5.9,-12.3
신길3동,48.2,53.1,49.7,40.6,37.7,8.56,6.32,5.84,4.83,4.57,,10.2,-6.4,-18.3,-7.1
신길4동,10.1,20.5,20.6,17.2,18.9,8.53,7.13,6.99,5.94,5.71,,103.1,0.6,-16.5,9.7
신길5동,13.0,23.2,16.9,16.4,12.6,4.99,5.42,3.66,3.02,2.61,,78.9,-27.1,-3.3,-23.2
신길6동,101.2,148.3,132.2,110.8,94.7,9.09,10.67,9.41,7.73,6.91,,46.6,-10.9,-16.2,-14.6
신길7동,47.7,64.5,45.5,36.5,27.4,16.33,14.25,10.95,9.87,7.71,,35.2,-29.6,-19.7,-25.0
신내1동,182.8,122.6,115.9,95.3,76.4,8.64,8.59,8.0,6.3,5.25,,-32.9,-5.4,-17.8,-19.8
신내2동,90.5,75.7,77.5,71.9,66.2,9.9,7.52,6.51,5.91,5.01,,-16.3,2.3,-7.1,-8.0
신당5동,94.4,97.8,114.8,110.1,103.7,13.02,10.47,10.75,9.79,9.16,,3.6,17.4,-4.1,-5.8
신당동,239.3,247.2,263.2,251.0,273.8,11.54,9.88,9.75,8.69,9.42,,3.3,6.5,-4.7,9.1
신대방1동,95.3,69.2,72.0,90.1,89.2,15.4,11.46,11.63,13.11,11.83,,-27.3,4.0,25.1,-0.9
신대방2동,165.6,190.5,199.6,173.6,151.3,14.88,13.1,12.1,10.57,9.61,,15.1,4.8,-13.0,-12.9
신도림동,130.6,135.0,125.7,109.2,121.9,10.8,10.57,9.45,8.37,9.19,,3.3,-6.9,-13.1,11.7
신림동,620.6,767.8,819.0,697.5,562.6,31.2,29.16,27.58,24.23,20.87,,23.7,6.7,-14.8,-19.3
신사1동,82.8,92.3,88.3,87.6,77.2,10.87,10.55,9.64,8.9,8.24,,11.4,-4.3,-0.8,-11.9
신사2동,22.9,35.8,28.2,20.5,19.6,6.26,7.57,6.48,4.5,4.43,,56.6,-21.3,-27.1,-4.5
신사동,2840.6,2504.2,2431.4,2087.4,1799.0,25.43,21.4,19.71,17.12,15.28,,-11.8,-2.9,-14.1,-13.8
신수동,68.5,51.8,46.1,42.5,36.1,9.61,6.23,6.1,6.18,5.64,,-24.3,-11.1,-7.8,-15.1
신원동,71.3,86.9,79.9,71.6,57.8,12.62,11.51,10.08,8.76,6.98,,21.9,-8.1,-10.4,-19.2
신월1동,80.5,88.7,80.3,62.6,50.6,8.47,6.75,6.31,4.73,4.04,,10.3,-9.5,-22.0,-19.1
신월2동,33.8,35.9,29.3,21.4,16.4,5.22,5.2,4.48,3.39,2.68,,6.0,-18.4,-26.8,-23.5
신월3동,29.9,43.0,34.6,27.5,19.1,11.71,10.16,8.18,6.05,4.53,,43.6,-19.4,-20.7,-30.6
신월4동,44.9,49.5,49.8,44.3,38.2,9.11,7.86,7.18,6.08,5.23,,10.2,0.6,-11.0,-13.8
신월5동,40.7,51.0,46.6,37.6,33.3,12.27,8.63,7.07,5.63,5.26,,25.3,-8.7,-19.3,-11.5
신월6동,22.8,35.4,37.2,39.3,31.7,5.68,5.63,5.18,4.9,3.84,,55.0,5.2,5.6,-19.3
신월7동,55.5,48.7,48.0,38.1,30.5,9.81,7.97,7.35,5.9,4.86,,-12.1,-1.4,-20.6,-20.0
신정1동,90.2,86.5,86.1,83.0,72.9,8.35,6.97,6.5,5.87,5.3,,-4.1,-0.5,-3.5,-12.3
신정2동,42.2,56.5,51.6,50.0,50.3,4.8,4.89,4.09,3.68,3.88,,33.8,-8.6,-3.1,0.7
신정3동,92.7,135.4,133.5,113.0,101.6,9.14,9.68,9.46,7.66,6.48,,46.0,-1.4,-15.4,-10.0
신정4동,288.7,343.0,326.0,297.2,253.1,10.89,11.19,10.15,8.82,7.66,,18.8,-5.0,-8.9,-14.8
신정6동,25.4,9.2,7.7,5.3,4.5,8.02,2.44,1.99,1.38,1.19,,-63.7,-16.7,-30.3,-15.7
신정7동,52.3,89.5,86.0,67.0,65.1,6.37,6.92,6.27,4.25,3.84,,71.1,-3.9,-22.2,-2.8
신촌동,1604.9,1408.3,1660.8,1720.5,1515.6,40.86,33.21,33.15,32.03,29.39,,-12.2,17.9,3.6,-11.9
쌍문1동,47.9,56.3,55.2,51.5,43.8,11.24,10.27,10.46,9.88,8.65,,17.7,-2.1,-6.6,-15.0
쌍문2동,98.2,92.0,86.6,63.9,66.2,10.67,8.4,7.61,5.57,6.17,,-6.3,-5.8,-26.2,3.5
쌍문3동,85.6,107.4,103.0,109.7,84.1,10.51,8.9,7.82,8.27,6.77,,25.4,-4.0,6.5,-23.4
쌍문4동,26.4,32.6,27.7,23.3,19.8,6.85,6.58,5.37,4.0,3.46,,23.8,-15.2,-15.6,-15.1
아현동,101.8,110.1,129.9,133.3,106.1,10.3,9.74,9.65,8.42,6.9,,8.2,18.0,2.7,-20.5
안암동,402.4,402.4,519.4,514.1,468.8,35.16,32.63,33.69,31.14,29.3,,0.0,29.1,-1.0,-8.8
암사1동,96.3,109.7,91.4,84.8,78.6,7.88,7.96,6.38,5.88,5.32,,13.9,-16.7,-7.2,-7.4
암사2동,88.7,89.8,88.1,80.6,77.3,11.89,10.15,9.19,8.06,7.93,,1.2,-1.9,-8.4,-4.1
암사3동,29.2,30.3,24.8,23.3,20.0,5.63,5.49,4.28,3.54,2.68,,3.5,-17.9,-6.0,-14.2
압구정동,1841.0,2360.9,2385.4,2052.7,1827.7,17.93,16.82,16.66,14.34,12.98,,28.2,1.0,-13.9,-11.0
약수동,100.0,105.2,100.8,98.9,85.4,7.4,10.15,10.52,9.58,8.1,,5.3,-4.2,-2.0,-13.6
양재1동,324.1,375.2,344.4,296.5,259.8,9.27,9.18,7.85,6.0,5.23,,15.8,-8.2,-13.9,-12.4
양재2동,437.4,430.4,409.5,387.9,324.4,9.68,8.35,7.43,6.95,5.86,,-1.6,-4.8,-5.3,-16.4
양평1동,91.7,93.3,105.7,95.9,80.8,8.52,9.08,9.66,8.46,6.95,,1.8,13.2,-9.3,-15.7
양평2동,128.3,147.0,132.7,123.8,117.6,4.62,5.07,4.53,4.81,6.26,,14.6,-9.7,-6.7,-5.1
여의동,1069.0,1244.8,1401.3,1305.6,1157.5,11.25,11.19,10.8,9.42,8.26,,16.4,12.6,-6.8,-11.3
역삼1동,3935.3,4034.8,4217.0,4034.5,3604.9,23.15,20.64,19.96,18.64,17.18,,2.5,4.5,-4.3,-10.6
역삼2동,420.9,455.4,406.9,363.2,305.8,11.98,11.12,10.27,9.04,8.01,,8.2,-10.7,-10.7,-15.8
역촌동,158.4,164.7,150.3,136.1,119.5,11.45,10.46,9.74,8.76,7.99,,4.0,-8.8,-9.5,-12.2
연남동,422.0,568.0,598.8,551.9,520.8,35.46,37.64,35.88,36.43,34.84,,34.6,5.4,-7.8,-5.6
연희동,287.1,323.6,345.6,318.5,295.5,13.52,13.83,13.86,12.24,11.83,,12.7,6.8,-7.8,-7.2
