행정동,연도,총매출,20대매출_전체,트렌드시간_매출,트렌드시간_매출비중,20대_전체비중,금요일매출,토요일매출,일요일매출,야간비중
청운효자동,2021,97863597046,20794869733,29916256509.800957,0.30569340809881596,0.21248830372774402,16623981588,14865221759,9606439099,0.3275145381375501
청운효자동,2022,101807398817,20850737899,31378313848.05237,0.30821250923476845,0.20480572277933795,16281824041,15701683612,10393839288,0.324459405454176
청운효자동,2023,102968503893,20035812101,31523313519.899704,0.3061452029317357,0.19458194829964964,17383632110,15734643066,10329768505,0.31402539551900954
청운효자동,2024,105784347917,20390937606,33030306230.87947,0.3122419042257135,0.19275949615910132,18177696989,16534526600,10683296667,0.3197590413899417
합정동,2020,232691865051,68792906084,79066017238.29643,0.33978848904308373,0.2956394976202644,36561888537,37024488808,24629992228,0.47622092017145823
합정동,2021,204507683743,48298149819,71727540627.48688,0.3507327417468832,0.23616789812012712,36292387864,32825659230,21910602887,0.4681774749613888
합정동,2022,247617609453,53653229006,88591980148.46777,0.3577773824089975,0.21667776021472276,39797346509,42215505464,27482280874,0.47476014025696234
합정동,2023,246006359870,50029706357,88424157816.5115,0.35943850339169486,0.20336753238183672,40209041784,40987008174,28375249275,0.47406999823349727
합정동,2024,276047540380,47503972930,90299104813.74979,0.3271143249073922,0.17208620248746734,56011010261,40341602400,27289257851,0.4047105106142587
휘경1동,2020,69422716201,17487651813,23098457875.541473,0.332721897666239,0.25190100258203524,10271283703,11036614963,7939870800,0.40131031638601733
휘경1동,2021,66184070341,15785733491,21823486858.039684,0.32973926725265756,0.23851258179902218,10201074504,9747333220,7572160394,0.4415214536736889
휘경1동,2022,73724024153,17140623776,24204346064.948917,0.3283101586359077,0.23249712658695815,12199030480,10705967236,8224822888,0.432293037515955
휘경1동,2023,81449453570,15650546395,25703090851.776695,0.3155710655527814,0.19215041610499536,12469391592,11748279770,8717463764,0.42001626776536766
휘경1동,2024,78014811230,13139091858,23924555390.065514,0.30666683688475693,0.16841791514772597,11811435983,11092707432,8218487537,0.3905842124281456
