행정동,YQ,연도,분기,총매출,20대매출,20대비중,QoQ_총매출,QoQ_20대매출
구로3동,19,2024,3,150679568042,21332708903,0.14157665289466306,0.024171435629767313,0.057713493431098106
구로3동,20,2024,4,159735731615,20936661265,0.13107061928674912,0.06010213389034735,-0.018565276440082323
군자동,1,2020,1,41956713294,6160613334,0.14683260080052543,,
군자동,2,2020,2,37806228777,6562322494,0.17357781260616742,-0.0989230135334156,0.06520603359133004
군자동,3,2020,3,38101378935,6692485083,0.1756494192616286,0.007806918794808659,0.019834835779407145
군자동,4,2020,4,36931361425,7505743527,0.20323495363805155,-0.03070800959713349,0.12151815564980617
군자동,5,2021,1,33265511592,4947429085,0.14872547717527976,-0.0992611615589798,-0.340847569970532
군자동,6,2021,2,42505289895,5580070862,0.131279444882845,0.27775849102594496,0.12787283377503944
군자동,7,2021,3,34409533309,5458767853,0.15864114761394424,-0.1904646834781928,-0.021738614436972004
군자동,8,2021,4,39258075779,5953672507,0.15165472043295483,0.1409069523396249,0.09066233760573139
군자동,9,2022,1,33023095580,4529551022,0.13716312606209038,-0.15882032104933752,-0.2392005074725888
군자동,10,2022,2,42411048654,5382374465,0.12690972366448103,0.28428446543593244,0.18827990652005955
군자동,11,2022,3,41813742823,5245148721,0.12544078494008581,-0.014083731715123893,-0.025495391465669814
군자동,12,2022,4,45063936928,6284550526,0.13945853279621384,0.07773028400634363,0.19816441063692758
군자동,13,2023,1,44715387801,4987563900,0.11154021345395689,-0.007734546752026783,-0.20637699078624605
군자동,14,2023,2,46237519327,5720099489,0.12371121055492693,0.034040441128992294,0.1468724218250117
군자동,15,2023,3,44671279031,5049970624,0.11304737033599445,-0.03387379597342299,-0.11715335830935925
군자동,16,2023,4,45218465151,5965972752,0.13193664871369618,0.012249170649899499,0.18138761513714496
군자동,17,2024,1,41399265306,4273445115,0.10322514381386012,-0.08446106766884676,-0.28369684330733935
군자동,18,2024,2,43143074927,5175505475,0.11996144187119683,0.042121752840557525,0.2110850463092937
군자동,19,2024,3,38840135842,4619668629,0.11894058887416391,-0.09973649519142447,-0.10739759598070953
군자동,20,2024,4,41226423966,5117521631,0.12413207692281268,0.061438717251332875,0.10776811974666844
대학동,1,2020,1,26144642161,7653832219,0.29274954967321115,,
대학동,2,2020,2,29210799633,8475592802,0.2901527143551716,0.11727670446275185,0.10736589978547584
대학동,3,2020,3,27715809675,8466892404,0.3054896286012976,-0.05117935752471092,-0.0010265238318134529
대학동,4,2020,4,25090719016,7204804346,0.28715017458868347,-0.0947145578564087,-0.14906154439895258
대학동,5,2021,1,31200306342,8358100385,0.2678852025804895,0.24349989022251628,0.16007319333248682
대학동,6,2021,2,35306631377,9692546080,0.2745248046041025,0.13161168964140302,0.15965896956620496
대학동,7,2021,3,31960609440,8572695130,0.2682268980537938,-0.09477035351437457,-0.115537335675994
대학동,8,2021,4,32418628555,8783192428,0.2709304131449863,0.014330737837144225,0.02455438981649638
대학동,9,2022,1,30370460434,7435382099,0.24482283089379916,-0.06317874050486649,-0.153453353100099
대학동,10,2022,2,34292600626,8699084694,0.2536723530791222,0.12914325749270272,0.1699579898079424
대학동,11,2022,3,32267397745,8009463619,0.24822155422313558,-0.059056555759277374,-0.07927513057501911
대학동,12,2022,4,33020660655,8325084655,0.2521174467700849,0.023344395973695198,0.039406014062076
대학동,13,2023,1,31521629384,7398746032,0.23471965683840934,-0.045396768001157994,-0.11127077517988315
대학동,14,2023,2,35970914932,8751644714,0.2432978068682504,0.141150239849543,0.18285513195731218
대학동,15,2023,3,33956105643,7954077629,0.23424587355881668,-0.05601217797236535,-0.09113339390070674
대학동,16,2023,4,32531625770,7880873964,0.2422526934164963,-0.041950625551009146,-0.009203287724161124
대학동,17,2024,1,31204224395,6323844391,0.20265988062864013,-0.040803413404075894,-0.19757067301323994
대학동,18,2024,2,31823784475,6829034499,0.21458901295553726,0.01985500655799899,0.07988654950444052
대학동,19,2024,3,30209340120,6387302756,0.21143469968651538,-0.05073074688110302,-0.0646843624914597
대학동,20,2024,4,29144196618,6145076601,0.21085078039875307,-0.03525874771739301,-0.037923073988071376
방배2동,1,2020,1,35733431230,4694915704,0.1313872063889119,,
방배2동,2,2020,2,35470959385,5011595320,0.14128727857638126,-0.007345274046329009,0.06745160849857079
방배2동,3,2020,3,35638442559,4880719031,0.1369509630764558,0.004721698451461309,-0.02611469614829154
방배2동,4,2020,4,32737074165,4421377884,0.13505720950246075,-0.08141120053708129,-0.09411341732283385
방배2동,5,2021,1,32363169410,4560418572,0.14091384296220572,-0.011421446923309708,0.03144736587731112
방배2동,6,2021,2,36595048082,6211930594,0.16974784621352804,0.13076218272652795,0.3621404474010199
방배2동,7,2021,3,32043260871,4941123016,0.15420162872599047,-0.12438259954736575,-0.20457530211742092
방배2동,8,2021,4,40240661850,6756992647,0.1679145505157739,0.2558229330030162,0.36750140102158513
방배2동,9,2022,1,29928710647,4396444959,0.14689723893737774,-0.2562569979946788,-0.34934886144179045
방배2동,10,2022,2,41812304790,5862705701,0.1402148417898778,0.39706335107994994,0.33351054219350695
방배2동,11,2022,3,45340506179,6608128198,0.14574447342761768,0.08438189204637725,0.1271464977122856
방배2동,12,2022,4,48475516508,7061671784,0.14567501891051743,0.06914369938048948,0.06863419903646362
방배2동,13,2023,1,45655337905,5841250808,0.1279423409406042,-0.0581773812050993,-0.1728232369515066
방배2동,14,2023,2,46146244621,6006507255,0.13016242826109817,0.010752449516888474,0.028291277404776105
방배2동,15,2023,3,46287706066,6206913466,0.1340942119090927,0.003065502862948488,0.033364849569302635
방배2동,16,2023,4,49204202999,7052912100,0.143339626904298,0.0630080248271856,0.13629940849573297
방배2동,17,2024,1,46140549416,5156325116,0.11175257298110887,-0.06226406274810026,-0.26890835404002833
방배2동,18,2024,2,45893560771,4986190017,0.10864683265437007,-0.005352962808768624,-0.032995417312239206
방배2동,19,2024,3,45768854952,5376131207,0.11746265473842873,-0.0027172835775863824,0.07820423783901687
방배2동,20,2024,4,49343912624,5832677455,0.11820460001712733,0.07811114513896689,0.08492096461588461
사직동,1,2020,1,56656503365,7781854069,0.1373514708252769,,
사직동,2,2020,2,63091680882,9083317194,0.1439701251736893,0.11358232744337315,0.16724332189478375
사직동,3,2020,3,59709509694,9512981273,0.1593210415183819,-0.05360724489692481,0.04730255146036466
사직동,4,2020,4,61140772889,9117157722,0.14911747580541776,0.023970439588852033,-0.04160878063782558
사직동,5,2021,1,68038165369,9367787100,0.13768429894008008,0.11281166648845109,0.02748985875227583
사직동,6,2021,2,82363328679,12426334835,0.15087217860548072,0.21054599624061776,0.32649629014305837
사직동,7,2021,3,76784172199,12236922071,0.15936776708728217,-0.06773835600724698,-0.015242850487699688
사직동,8,2021,4,96684693807,15425896457,0.15954848538686855,0.2591747887367233,0.2606026554306067
사직동,9,2022,1,73430316771,11046782099,0.15043898194597916,-0.2405176674854027,-0.2838807047750431
사직동,10,2022,2,106167043161,14268140873,0.13439331498912216,0.4458203073274605,0.291610601633177
사직동,11,2022,3,101626881127,14345989019,0.14116333060612435,-0.04276432590399026,0.005456081958604253
사직동,12,2022,4,107191595177,15196132378,0.1417660811270455,0.054756320259852886,0.059260003466757194
사직동,13,2023,1,96882252207,11469345615,0.11838438262659742,-0.09617678469078395,-0.2452457421597226
사직동,14,2023,2,101827559637,12264023457,0.1204391375057932,0.051044513492871646,0.06928711268066534
사직동,15,2023,3,98985007334,12693882256,0.12824045376051435,-0.02791535330055317,0.03505038949959349
사직동,16,2023,4,109131397815,14071890680,0.12894447392541172,0.10250431610075617,0.10855689348691255
사직동,17,2024,1,96007404837,10896032481,0.11349158431580489,-0.12025863537684955,-0.2256880948850578
사직동,18,2024,2,103997623389,11686840792,0.11237603717428928,0.08322502379442165,0.0725776389138868
사직동,19,2024,3,102279520510,12185312817,0.11913736744403906,-0.016520597519555702,0.04265241855106128
사직동,20,2024,4,112312507727,13159092125,0.11716497468818021,0.0980938037934882,0.07991418214897683
삼성1동,1,2020,1,293921053060,39768561338,0.13530354809215311,,
삼성1동,2,2020,2,308466383973,39489065330,0.12801740280865245,0.04948720332065082,-0.007028064345212637
삼성1동,3,2020,3,305919317149,41486654978,0.13561306087053554,-0.008257194159033365,0.050585893368370494
삼성1동,4,2020,4,309672689981,43649010330,0.14095208180184726,0.012269159290035692,0.052121708851838644
삼성1동,5,2021,1,246013634369,37324232847,0.15171611501424653,-0.20556883984798857,-0.14490082215341715
삼성1동,6,2021,2,291962047521,45511422818,0.1558812976016223,0.18677181559409517,0.21935320156642035
삼성1동,7,2021,3,258371703085,41013355620,0.15873779957438794,-0.11505037973671539,-0.09883380741550873
삼성1동,8,2021,4,301627005367,52299656661,0.1733918241086046,0.16741501397221392,0.27518599418127776
삼성1동,9,2022,1,259530691542,40969689188,0.15786067129316708,-0.13956414072997192,-0.21663559947323308
삼성1동,10,2022,2,310596821254,44687948716,0.1438776756812172,0.19676335545746393,0.09075635187120423
삼성1동,11,2022,3,319563470740,49123344774,0.15372015036714642,0.028869096115659465,0.09925262146597391
삼성1동,12,2022,4,314623116932,47814129183,0.1519727146855968,-0.01545969505388034,-0.026651597056822185
삼성1동,13,2023,1,285753604667,36005659279,0.12600246747878763,-0.09175903076200087,-0.2469661187136798
삼성1동,14,2023,2,300088331611,37464041500,0.12484337961052105,0.05016464083000738,0.040504249893032584
삼성1동,15,2023,3,281551771523,36851308803,0.13088643912151557,-0.061770346046072455,-0.016355221499527728
삼성1동,16,2023,4,293811122231,37508475329,0.12766186332289392,0.04354208336777776,0.017832922285422326
삼성1동,17,2024,1,262886897427,29038025156,0.11045824436367527,-0.10525205638637047,-0.2258276322538495
삼성1동,18,2024,2,276219123844,28872661946,0.10452810632440636,0.05071468584965211,-0.005694712678001479
삼성1동,19,2024,3,248480606592,27579072370,0.11099084450998731,-0.10042214625105339,-0.0448032667863939
삼성1동,20,2024,4,237420128715,22777627681,0.09593806474741806,-0.04451243913437908,-0.1740973961917197
상계2동,1,2020,1,73533236181,17875735828,0.24309736326576703,,
상계2동,2,2020,2,77937648767,18378806573,0.23581422924297749,0.0598968958085655,0.028142659403816328
상계2동,3,2020,3,72286504305,17138594993,0.23709259643662886,-0.07250853151721948,-0.06748052845944708
상계2동,4,2020,4,75115856163,16417372564,0.21856067949721042,0.03914080346259463,-0.04208177095582066
상계2동,5,2021,1,75155551604,15733740039,0.2093490062038558,0.0005284562145422278,-0.04164079984997526
상계2동,6,2021,2,93419102942,20671220128,0.2212740165235144,0.24301000988233,0.31381477492072607
상계2동,7,2021,3,86282746771,18729105699,0.21706663730477033,-0.07639075891609304,-0.09395257836615689
상계2동,8,2021,4,93047214169,20493386396,0.22024717858589754,0.07839884161260335,0.09419994341183102
상계2동,9,2022,1,80313082400,16107960139,0.2005645862124201,-0.13685666876464697,-0.21399226912814995
상계2동,10,2022,2,96943901896,19581240566,0.20198527378242387,0.20707485006203674,0.2156250944891911
