지역_대분류,상권명,연도,임대료,공실률,투자수익률,소득수익률,자본수익률
기타지역,사당,2023,60.2,7.4,4.38,2.83,1.52
기타지역,사당,2024,61.0,7.8,5.58,2.61,2.92
기타지역,사당,2025,64.6,7.8,6.02,2.24,3.72
기타지역,상계역,2020,26.8,1.5,5.71,3.08,2.58
기타지역,상계역,2021,26.9,0.9,8.36,3.14,5.1
기타지역,상계역,2022,29.6,7.6,5.3,3.01,2.24
기타지역,상계역,2023,29.6,10.4,2.87,3.09,-0.21
기타지역,상계역,2024,30.2,6.6,4.48,3.0,1.45
기타지역,상계역,2025,30.1,7.5,3.92,2.88,1.01
기타지역,상봉역,2022,39.0,6.5,4.64,2.1,2.49
기타지역,상봉역,2023,38.0,6.5,2.4,2.18,0.22
기타지역,상봉역,2024,39.5,5.3,3.43,2.19,1.23
기타지역,상봉역,2025,39.4,4.3,3.22,2.17,1.03
강남지역,서래마을,2021,44.1,9.4,8.44,2.86,5.47
강남지역,서래마을,2022,44.6,3.9,5.93,2.43,3.44
강남지역,서래마을,2023,45.3,2.7,3.83,2.54,1.27
강남지역,서래마을,2024,45.8,1.9,4.46,2.57,1.85
강남지역,서래마을,2025,46.0,6.1,4.81,2.51,2.25
기타지역,서울대입구역,2020,80.1,4.7,6.62,3.99,2.55
기타지역,서울대입구역,2021,76.9,6.7,9.2,3.74,5.31
기타지역,서울대입구역,2022,80.2,9.1,6.16,3.65,2.45
기타지역,서울대입구역,2023,80.7,5.4,4.51,3.75,0.74
기타지역,서울대입구역,2024,79.0,4.7,5.84,3.75,2.04
기타지역,서울대입구역,2025,79.7,3.7,5.66,3.69,1.92
도심지역,서촌,2024,52.6,16.0,,,
도심지역,서촌,2025,53.6,10.1,6.2,2.73,3.4
기타지역,성신여대,2020,47.6,14.5,4.95,3.4,1.51
기타지역,성신여대,2021,46.5,11.7,6.77,3.37,3.32
기타지역,성신여대,2022,47.5,10.6,6.39,3.63,2.69
기타지역,성신여대,2023,48.2,10.0,4.3,3.72,0.56
기타지역,성신여대,2024,53.2,11.1,5.88,3.63,2.19
기타지역,성신여대,2025,53.1,10.2,5.49,3.44,1.99
기타지역,수유,2020,49.6,3.9,5.6,3.65,1.9
기타지역,수유,2021,49.6,4.9,8.65,3.34,5.18
기타지역,수유,2022,50.0,3.8,5.56,3.13,2.38
기타지역,수유,2023,50.8,9.1,3.36,3.2,0.16
기타지역,수유,2024,53.0,16.8,4.33,3.02,1.28
기타지역,수유,2025,52.8,7.3,3.66,2.89,0.75
기타지역,숙명여대,2020,37.1,8.0,5.62,1.99,3.58
기타지역,숙명여대,2021,39.5,8.6,7.16,1.6,5.49
기타지역,숙명여대,2022,38.8,7.2,6.09,1.41,4.63
기타지역,숙명여대,2023,38.6,3.2,2.69,1.48,1.19
기타지역,숙명여대,2024,35.1,1.1,4.95,1.39,3.53
기타지역,숙명여대,2025,35.7,1.1,8.34,1.2,7.08
도심지역,시청,2020,62.4,13.4,6.3,3.33,2.9
도심지역,시청,2021,60.1,8.4,6.54,3.06,3.4
도심지역,시청,2022,64.1,17.5,5.76,2.89,2.81
도심지역,시청,2023,65.3,19.9,4.42,2.79,1.6
도심지역,시청,2024,71.4,20.7,5.63,2.71,2.86
도심지역,시청,2025,67.2,10.8,5.22,2.81,2.35
기타지역,신림역,2020,68.0,2.5,6.59,3.62,2.88
기타지역,신림역,2021,65.3,3.9,8.61,3.25,5.23
기타지역,신림역,2022,64.8,1.6,6.98,3.04,3.85
기타지역,신림역,2023,64.9,1.3,3.7,3.15,0.54
기타지역,신림역,2024,65.4,4.8,4.71,2.92,1.75
기타지역,신림역,2025,65.0,7.2,4.33,2.63,1.67
강남지역,신사역,2020,83.9,9.6,4.7,2.45,2.2
강남지역,신사역,2021,82.1,15.6,7.85,2.01,5.76
강남지역,신사역,2022,84.0,10.1,5.4,1.76,3.59
강남지역,신사역,2023,86.7,10.2,3.83,1.89,1.91
강남지역,신사역,2024,93.3,14.4,7.06,1.87,5.11
강남지역,신사역,2025,93.8,15.6,7.57,1.72,5.78
영등포신촌지역,신촌/이대,2020,55.7,10.7,6.06,3.16,2.83
영등포신촌지역,신촌/이대,2021,57.5,14.6,7.23,2.5,4.64
영등포신촌지역,신촌/이대,2022,63.3,9.1,5.39,2.59,2.75
영등포신촌지역,신촌/이대,2023,63.2,7.4,2.14,2.86,-0.7
영등포신촌지역,신촌/이대,2024,57.9,12.9,4.2,2.67,1.5
영등포신촌지역,신촌/이대,2025,58.0,13.3,3.99,2.44,1.52
기타지역,쌍문역,2024,47.8,13.1,,,
기타지역,쌍문역,2025,47.5,13.5,4.84,2.71,2.09
강남지역,압구정,2020,47.3,12.8,5.56,2.36,3.14
강남지역,압구정,2021,48.0,5.6,9.42,2.23,7.07
강남지역,압구정,2022,47.5,3.5,4.45,1.79,2.62
강남지역,압구정,2023,52.4,2.0,3.92,1.77,2.12
강남지역,압구정,2024,52.8,2.7,6.64,1.69,4.89
강남지역,압구정,2025,56.4,5.8,6.92,1.5,5.36
기타지역,약수역,2024,44.0,3.0,,,
기타지역,약수역,2025,43.5,13.6,3.74,2.01,1.71
강남지역,양재말죽거리,2021,38.1,6.0,8.4,2.48,5.81
강남지역,양재말죽거리,2022,38.4,5.3,6.06,2.21,3.79
강남지역,양재말죽거리,2023,38.8,3.5,3.78,2.29,1.46
강남지역,양재말죽거리,2024,42.4,3.1,6.15,2.5,3.58
강남지역,양재말죽거리,2025,42.8,3.9,6.96,2.45,4.43
강남지역,양재역,2021,38.2,7.5,8.01,2.59,5.32
강남지역,양재역,2022,39.5,16.9,5.79,2.13,3.6
강남지역,양재역,2023,41.3,11.5,4.42,2.12,2.26
강남지역,양재역,2024,42.0,13.7,5.02,1.69,3.29
강남지역,양재역,2025,42.5,9.9,5.84,1.27,4.53
기타지역,연신내,2021,43.9,7.3,6.67,3.22,3.36
기타지역,연신내,2022,46.7,9.9,4.83,3.53,1.27
기타지역,연신내,2023,47.7,9.9,4.78,3.48,1.26
기타지역,연신내,2024,49.7,9.5,7.22,3.26,3.87
기타지역,연신내,2025,49.7,12.0,6.05,2.98,3.0
영등포신촌지역,영등포,2020,40.8,11.8,6.73,2.86,3.78
영등포신촌지역,영등포,2021,40.2,15.3,7.96,2.66,5.2
영등포신촌지역,영등포,2022,39.5,13.2,5.34,2.46,2.83
영등포신촌지역,영등포,2023,39.5,13.0,2.65,2.45,0.19
영등포신촌지역,영등포,2024,43.3,13.1,4.61,2.32,2.25
영등포신촌지역,영등포,2025,43.6,12.7,4.84,2.11,2.69
기타지역,오류동역,2020,45.3,4.8,6.24,3.29,2.88
기타지역,오류동역,2021,49.5,4.6,7.85,3.69,4.05
기타지역,오류동역,2022,49.6,4.6,5.4,3.01,2.33
기타지역,오류동역,2023,45.2,2.1,2.75,2.87,-0.11
기타지역,오류동역,2024,45.0,1.5,3.22,2.87,0.34
기타지역,오류동역,2025,45.0,1.5,3.32,2.87,0.43
기타지역,왕십리,2020,39.2,4.0,5.88,2.94,2.87
기타지역,왕십리,2021,42.2,3.9,7.91,2.84,4.97
기타지역,왕십리,2022,42.0,0.9,5.11,2.23,2.84
기타지역,왕십리,2023,42.4,2.0,2.37,2.25,0.12
기타지역,왕십리,2024,45.7,2.7,3.77,2.44,1.31
기타지역,왕십리,2025,46.1,1.8,5.49,2.45,2.99
기타지역,용산역,2020,24.2,13.5,6.22,2.22,3.93
기타지역,용산역,2021,24.8,13.6,6.44,1.91,4.47
기타지역,용산역,2022,26.4,12.9,6.52,1.77,4.69
