행정동,주말집중도,2030주말집중도,주말_총인구,평일_총인구,업종점수,2030비중,구역유형
상계8동,1.0125809691140548,1.0738271249537223,408925.2313846154,403844.4764989011,0.2941443210168839,0.2137900590133619,주거형
상계9동,1.0245240772988697,1.1094286096833657,396378.89191923075,386890.753181978,0.1945256011448027,0.1769107441728428,주거형
상도1동,1.0072723821902636,0.9684575752311029,1004406.2915576922,997154.6021878023,0.3745492767311618,0.2623519872328269,주거형
상도2동,1.0115555968257566,1.0474231643215164,478214.24512307695,472751.3214535165,0.3326550757570054,0.2205852780502699,주거형
상도3동,1.0919264254787058,1.1261077556750088,415417.0111230769,380444.1411342857,0.2703529873996761,0.1935024298448234,주거형
상도4동,1.0864468012973183,1.132899826382611,515102.4623230769,474116.5989057142,0.3510638259898814,0.2133823444232414,주거형
상봉1동,1.0067872183221271,1.0833274557781147,383273.91113846155,380690.08442241757,0.4509267954466099,0.2353384163819072,주거형
상봉2동,1.0759071011855224,1.1406875617417853,625480.9771923077,581352.2157285714,0.5548832830539199,0.399897470173487,주거형
상암동,0.8089842350231783,0.6994021761680429,962815.4197423076,1190153.501217143,0.641604818972007,0.324695225743995,혼합형
상일동,0.9964713351153296,1.0203196109824781,963558.1059692308,966970.2198284615,0.5637924450273911,0.2049604780057113,주거형
서강동,1.000801106416938,0.9739992124967105,611393.5176923077,610904.1184828572,0.6492555132443246,0.504326575026758,주거형
서교동,1.0550067008371502,1.1262072664796312,1799891.5500615383,1706047.5053223078,0.665769167271514,0.5827131093171165,주거형
서림동,1.083820281396681,1.0867413193256599,436473.98489615385,402718.0450375824,0.4262790694339196,0.3054001418924597,주거형
서빙고동,1.0753783162453459,1.0970150302781891,362028.5472307692,336652.26624131866,0.4909501186080776,0.1858936524764067,주거형
서원동,1.1011389564659992,1.129770103207739,543220.4768307693,493325.99999384617,0.6658274353197249,0.5648345004391595,상권형
서초1동,0.8010627858352917,0.7073102428626734,648851.2692576924,809988.0318134066,0.4840290518286973,0.2204868926705341,혼합형
서초2동,0.6866836878463427,0.6251980083206736,826759.3996346154,1203988.698533956,0.4651775825763978,0.3048329392727696,오피스형
서초3동,0.7547097838936336,0.7117636640277981,1241465.7665346153,1644957.827537033,0.5803789148594642,0.2245241839402004,오피스형
서초4동,0.8448160625414453,0.7793504559404713,862187.0522307693,1020561.8601013187,0.3632132939162684,0.430556839599123,혼합형
석관동,1.0251354999261746,1.0368477587811291,655655.7932884616,639579.6393117582,0.5576177740958688,0.2415048311002084,주거형
석촌동,1.0287621457829363,1.062917306082218,648469.4019038461,630339.4857227473,0.4231818576995901,0.260026520143535,주거형
성내1동,0.9317816234882439,0.9133869806020363,527162.6619884616,565757.7362547253,0.478810643502843,0.2222875205558991,혼합형
성내2동,1.0545602598461603,1.0928662217567042,597358.8512115385,566453.0268746155,0.4224959593201177,0.3030986993456788,주거형
성내3동,1.0121200492328484,1.0364956284633053,668260.0206346153,660257.6652257142,0.3869844597302461,0.1917897720157118,주거형
성북동,1.01202676056412,1.0513626006002534,476130.9160653846,470472.6541025274,0.5525205507481276,0.1749915678385838,주거형
성산1동,1.0191347632822252,1.0337201720994613,472441.34863846155,463571.02677659335,0.3563060248817855,0.2717552278551394,주거형
성산2동,1.1013535357024995,1.192980315284711,907895.8887346154,824345.5523620879,0.3947476447692494,0.2519636959661663,상권형
성수1가1동,0.8996349210261414,0.8511081096346913,393667.4172769231,437585.74514637364,0.5403462222077349,0.289527288869431,혼합형
성수1가2동,0.7719460324719545,0.7486143173087685,395911.09990384616,512874.06534890115,0.6710467681447817,0.3369247328483133,오피스형
성수2가1동,0.9211379984127167,0.9111606864167515,423698.3948576923,459972.76801934064,0.6030068810127482,0.4113395338778122,혼합형
성수2가3동,0.6958490525042871,0.6852120228471257,631149.6385038462,907020.9066641759,0.5718909407533578,0.3835773182870606,오피스형
성현동,1.0761165061685223,1.133363892204556,499860.09577307693,464503.69723703293,0.2104177664925884,0.1719906696423402,주거형
세곡동,1.011748745836132,1.037979523485507,1122147.0744,1109116.348320879,0.2908838432226339,0.2238447942470246,주거형
소공동,0.44276482969026515,0.4573472936713619,360007.25900384615,813089.1047865934,0.6472219038757249,0.2222349465864267,오피스형
송정동,0.9731900882890981,0.9891342668455462,217135.11353846153,223116.85676967032,0.3916661008943775,0.2480215596375141,주거형
송중동,1.0299180750484995,1.0775003962620153,816820.2968038461,793092.4959884615,0.4971999103417455,0.2906208661583278,주거형
송천동,1.0139689199721031,1.0679873150992352,621698.4922538463,613133.6769878023,0.298902499092586,0.1788294533252327,주거형
송파1동,1.0321511819558848,1.1106349971907636,676548.222773077,655473.960210989,0.4185666639683885,0.3387686491606974,주거형
송파2동,1.0059649046064314,1.0790010373434806,428146.1453807692,425607.43761560443,0.2820417622229725,0.1758340513682657,주거형
