행정동코드,연도,분기,연도분기,총_유동인구,남성_유동인구,여성_유동인구,10대미만,10대,20대,30대,40대,50대,60대,70이상,2030_유동인구,2030_유동인구_비중
11110530,2023,3,2023Q3,54307822.81999999,25550695.1917,28757127.686,1964771.0366,2619751.8634,8303937.7214,11593035.4658,11412960.3434,8918983.9743,4869651.1951,4624731.2777,19896973.187200002,0.366374
11110530,2023,4,2023Q4,57142573.896699995,26744200.981200002,30398372.912,2233980.228,3026302.1333,8738139.6959,11982824.2253,11689901.9603,9477488.4709,5202801.9488,4791135.2307,20720963.9212,0.362619
11110530,2024,1,2024Q1,53993843.8165,25164281.5822,28829562.2222,1949761.4885,2605481.9935999997,8146946.9866,11472070.2008,11323212.913,9007360.5369,4949891.134099999,4539118.5509,19619017.1874,0.363357
11110530,2024,2,2024Q2,54205930.7129,24844669.5832,29361261.095399998,1992915.3087,2787675.1307,8059011.194499999,11530054.9868,11548910.8817,9008920.2524,4883504.9519,4394937.9719,19589066.1813,0.361382
11110530,2024,3,2024Q3,52449413.6482,24210254.188,28239159.470399998,1839421.7266,2570041.4737,7864954.8669,11090016.5271,11377935.9922,8847632.307599999,4759764.7488,4099646.0154999997,18954971.394,0.361395
11110530,2024,4,2024Q4,56393827.1653,25742729.6994,30651097.493,2006884.168,2795520.5042,8459112.8218,11512327.7514,12007123.0143,9527136.6557,5324936.6783,4760785.5987,19971440.5732,0.354142
11110540,2020,1,2020Q1,12534057.5425,6639514.226500001,5894543.3288,359084.0421,708945.7078,2302859.1045,2362847.7196,2248048.9233999997,1870571.6755,1316155.0317,1365545.3506999998,4665706.8241,0.372242
11110540,2020,2,2020Q2,12756566.7636,6632202.5781000005,6124364.1832,349172.4413,800578.7565,2364826.3234,2495194.4461,2279015.0352,1853288.7756,1341772.5866999999,1272718.3965,4860020.7695,0.380982
11110540,2020,3,2020Q3,12716026.236299999,6665184.356699999,6050841.8615,337608.4828,837343.9801,2399192.6907,2428836.5921,2294431.0342,1878347.5667,1323949.3332,1216316.5384,4828029.2828,0.379681
11110540,2020,4,2020Q4,13002053.6482,6791346.5815,6210707.0722,366738.0376,801817.7257,2357603.7896,2483350.6788,2370466.8623,2006335.1062,1401941.3126,1213800.1409,4840954.4684,0.372322
11110540,2021,1,2021Q1,12268862.3717,6397299.6005,5871562.768300001,367851.2156,747309.8475,2245454.1903999997,2283924.0686,2301113.8708,1855821.7078999998,1310964.6759000001,1156422.7921,4529378.259,0.369177
11110540,2021,2,2021Q2,12944763.8986,6643522.5999,6301241.2906,369521.8554,1019495.5546,2268570.5617,2431636.7969,2386625.553,1969250.2006,1338073.0968,1161590.2715,4700207.3586,0.363097
11110540,2021,3,2021Q3,11782590.8122,6248301.2299,5534289.5734,315683.92590000003,892912.6253,2224986.4518999998,2123241.2818,2093074.7205,1811603.4043999999,1244950.2031,1076138.1904,4348227.7337,0.369038
11110540,2021,4,2021Q4,11600174.2072,5931031.4063,5669142.8131,308329.3771,856645.1051,2233467.8089,2061185.3643,2073075.7694,1791666.2517,1223478.5072,1052326.0357,4294653.1732,0.370223
11110540,2022,1,2022Q1,9945027.7863,5104183.8482,4840843.9361,287735.6935,701284.9846,1877492.6716,1731657.3778,1794901.5301,1543030.5359,1073455.2423999999,935469.7484,3609150.0494,0.36291
11110540,2022,2,2022Q2,12042520.582899999,5964120.0225,6078400.563,368472.2466,1057375.4743,2071515.0416,2077356.477,2143048.0327,1837412.5408,1351220.6425,1136120.13,4148871.5186,0.344519
11110540,2022,3,2022Q3,11305012.076299999,5701410.539,5603601.5419,377371.85569999996,990822.2063,1983785.8780999999,1926966.9084,2093087.9553999999,1705662.7460000003,1226009.1244,1001305.4066,3910752.7865,0.345931
11110540,2022,4,2022Q4,12495240.4292,6136222.442,6359018.0027,433324.1006,1015111.4654,2293938.3709,2094379.7492,2229479.9305,1907216.5389999999,1344522.0717,1177268.2174,4388318.1201,0.351199
11110540,2023,1,2023Q1,12370505.3135,6047608.1275,6322897.1836,424099.1299,979804.635,2235043.8046,2153656.2893000003,2256274.2412,1876865.2335,1291983.5346,1152778.443,4388700.093900001,0.354771
11110540,2023,2,2023Q2,13444521.991299998,6561807.9298,6882714.0384,466997.0848,1225085.7617000001,2241824.4092,2335600.0916999998,2469037.6926,2033294.4747000001,1349103.3382,1323579.1153,4577424.5009,0.340468
11110540,2023,3,2023Q3,12748462.170400001,6328469.2238,6419992.9307,395637.706,1124421.1029,2268709.768,2240653.7662,2332401.2432,1887549.2273,1237665.3069,1261424.034,4509363.5342,0.353718
11110540,2023,4,2023Q4,12893661.1033,6403950.178499999,6489710.9043,416344.3499,1092476.1074,2384628.9703,2184214.0238,2344596.4248,1937596.3139,1265050.8063,1268754.0864,4568842.994100001,0.354348
11110540,2024,1,2024Q1,11981229.4466,5964080.3785,6017149.0753999995,364932.0906,860806.1235,2233046.6026,2028496.5369000002,2272442.7062,1812896.7303,1168439.1052,1240169.5586,4261543.1395,0.355685
11110540,2024,2,2024Q2,14453535.1014,7109315.9443,7344219.1838,441951.45790000004,1299773.6999,2592105.9807,2440938.6876,2720045.0682,2173309.6559,1380011.9971,1405398.5808,5033044.6683,0.348222
11110540,2024,3,2024Q3,13250317.8443,6656522.9893,6593794.8612,391709.5119,1143065.1970000002,2462426.8608999997,2255007.2673,2483487.1623,1988606.5507,1249685.4968,1276329.8036,4717434.1282,0.356024
11110540,2024,4,2024Q4,13494957.190200001,6599771.1321,6895186.068299999,398809.4069,1132914.1593,2466213.0636,2270044.6691,2521883.2237,2082117.9836,1297970.1094,1325004.5847999998,4736257.7327,0.350965
11110550,2020,1,2020Q1,33148761.596,15165010.4944,17983751.0659,1623722.7496000002,3049120.4928,4159173.4583,4024930.5863,5387006.1778,5446563.0463,4166583.2043000003,5291661.8449,8184104.044600001,0.24689
