group,period,ratio
도봉,2022-05-01,7.91234
도봉,2022-06-01,7.36453
도봉,2022-07-01,7.29113
도봉,2022-08-01,7.38986
도봉,2022-09-01,7.18105
도봉,2022-10-01,7.11726
도봉,2022-11-01,6.9268
도봉,2022-12-01,6.48819
도봉,2023-01-01,6.60614
도봉,2023-02-01,6.22346
도봉,2023-03-01,7.39685
도봉,2023-04-01,6.49518
도봉,2023-05-01,6.63061
도봉,2023-06-01,6.55634
도봉,2023-07-01,6.39121
도봉,2023-08-01,6.40169
도봉,2023-09-01,8.75198
도봉,2023-10-01,7.6214
도봉,2023-11-01,6.75467
도봉,2023-12-01,6.96349
도봉,2024-01-01,6.34141
도봉,2024-02-01,6.50304
도봉,2024-03-01,8.05651
도봉,2024-04-01,6.48994
도봉,2024-05-01,7.00193
도봉,2024-06-01,6.55896
도봉,2024-07-01,7.26405
도봉,2024-08-01,7.09367
도봉,2024-09-01,6.48295
도봉,2024-10-01,6.57644
도봉,2024-11-01,6.76516
도봉,2024-12-01,7.17231
청량리,2022-01-01,75.72125
청량리,2022-02-01,63.69895
청량리,2022-03-01,67.27506
청량리,2022-04-01,77.45382
청량리,2022-05-01,95.60958
청량리,2022-06-01,88.88461
청량리,2022-07-01,95.60172
청량리,2022-08-01,94.58647
청량리,2022-09-01,87.27436
청량리,2022-10-01,95.29417
청량리,2022-11-01,89.23759
청량리,2022-12-01,87.33814
청량리,2023-01-01,96.02722
청량리,2023-02-01,88.65308
청량리,2023-03-01,93.99409
청량리,2023-04-01,87.42726
청량리,2023-05-01,94.08495
청량리,2023-06-01,91.86485
청량리,2023-07-01,97.44264
청량리,2023-08-01,93.89885
청량리,2023-09-01,87.78286
청량리,2023-10-01,90.67835
청량리,2023-11-01,83.38109
청량리,2023-12-01,87.35212
청량리,2024-01-01,88.15157
청량리,2024-02-01,85.77157
청량리,2024-03-01,87.3792
청량리,2024-04-01,87.45609
청량리,2024-05-01,89.06809
청량리,2024-06-01,91.84301
청량리,2024-07-01,87.38619
청량리,2024-08-01,88.54124
청량리,2024-09-01,81.87044
청량리,2024-10-01,89.2507
청량리,2024-11-01,92.6477
청량리,2024-12-01,100.0
회기,2022-01-01,25.23983
회기,2022-02-01,23.32203
회기,2022-03-01,29.8574
회기,2022-04-01,29.91594
회기,2022-05-01,33.52001
회기,2022-06-01,29.45113
회기,2022-07-01,28.44898
회기,2022-08-01,26.75048
회기,2022-09-01,32.68736
회기,2022-10-01,30.93469
회기,2022-11-01,29.85042
회기,2022-12-01,27.85922
회기,2023-01-01,25.63125
회기,2023-02-01,27.57352
회기,2023-03-01,34.0189
회기,2023-04-01,29.1165
회기,2023-05-01,29.35764
회기,2023-06-01,27.04317
회기,2023-07-01,25.19527
회기,2023-08-01,27.00997
회기,2023-09-01,26.64651
회기,2023-10-01,27.36994
회기,2023-11-01,27.22927
회기,2023-12-01,26.51807
회기,2024-01-01,23.97906
회기,2024-02-01,24.13808
회기,2024-03-01,29.14096
회기,2024-04-01,25.83832
회기,2024-05-01,27.95358
회기,2024-06-01,23.16651
회기,2024-07-01,23.96683
회기,2024-08-01,24.23943
회기,2024-09-01,24.03673
회기,2024-10-01,25.91521
회기,2024-11-01,27.28519
회기,2024-12-01,30.81762
왕십리,2022-01-01,58.41386
왕십리,2022-02-01,51.22407
왕십리,2022-03-01,59.03681
왕십리,2022-04-01,63.48664
왕십리,2022-05-01,73.91266
왕십리,2022-06-01,64.22056
왕십리,2022-07-01,67.27768
왕십리,2022-08-01,64.764
왕십리,2022-09-01,60.28098
왕십리,2022-10-01,65.54161
왕십리,2022-11-01,65.30396
왕십리,2022-12-01,67.17458
왕십리,2023-01-01,63.83263
왕십리,2023-02-01,60.79385
왕십리,2023-03-01,67.57998
왕십리,2023-04-01,60.74929
왕십리,2023-05-01,66.5158
왕십리,2023-06-01,58.93983
왕십리,2023-07-01,60.06343
왕십리,2023-08-01,71.77206
왕십리,2023-09-01,58.7878
왕십리,2023-10-01,58.70393
왕십리,2023-11-01,60.5029
왕십리,2023-12-01,61.17654
왕십리,2024-01-01,58.40599
왕십리,2024-02-01,60.51514
왕십리,2024-03-01,66.94479
왕십리,2024-04-01,57.93856
왕십리,2024-05-01,59.94111
왕십리,2024-06-01,53.88278
왕십리,2024-07-01,55.7202
왕십리,2024-08-01,53.40224
왕십리,2024-09-01,50.81954
왕십리,2024-10-01,52.50755
왕십리,2024-11-01,54.98278
왕십리,2024-12-01,55.67214
둔촌,2022-01-01,2.79676
둔촌,2022-02-01,2.22945
둔촌,2022-03-01,2.62981
둔촌,2022-04-01,5.30794
둔촌,2022-05-01,3.84483
둔촌,2022-06-01,3.46649
둔촌,2022-07-01,3.48156
둔촌,2022-08-01,3.40891
둔촌,2022-09-01,2.49881
둔촌,2022-10-01,3.59595
둔촌,2022-11-01,6.06384
둔촌,2022-12-01,8.17659
둔촌,2023-01-01,6.32625
둔촌,2023-02-01,3.18515
둔촌,2023-03-01,3.3977
둔촌,2023-04-01,2.24375
둔촌,2023-05-01,2.2167
둔촌,2023-06-01,2.20356
둔촌,2023-07-01,2.20201
둔촌,2023-08-01,2.13129
둔촌,2023-09-01,3.19867
둔촌,2023-10-01,2.48683
둔촌,2023-11-01,2.18694
둔촌,2023-12-01,2.35543
둔촌,2024-01-01,2.22945
둔촌,2024-02-01,2.01072
둔촌,2024-03-01,2.5046
둔촌,2024-04-01,2.57648
둔촌,2024-05-01,2.29824
둔촌,2024-06-01,2.23293
둔촌,2024-07-01,2.9042
둔촌,2024-08-01,2.3991
둔촌,2024-09-01,2.45475
둔촌,2024-10-01,2.76237
둔촌,2024-11-01,3.28756
둔촌,2024-12-01,3.06767
가락,2022-01-01,33.09321
가락,2022-02-01,25.55736
가락,2022-03-01,29.26191
가락,2022-04-01,31.33562
가락,2022-05-01,32.22253
가락,2022-06-01,35.00191
가락,2022-07-01,35.90582
가락,2022-08-01,38.72346
가락,2022-09-01,37.09185
가락,2022-10-01,36.9222
가락,2022-11-01,35.16383
가락,2022-12-01,38.36638
가락,2023-01-01,39.22469
가락,2023-02-01,31.9895
가락,2023-03-01,34.65371
가락,2023-04-01,33.29069
가락,2023-05-01,35.51628
가락,2023-06-01,35.51009
가락,2023-07-01,38.34667
가락,2023-08-01,39.62274
가락,2023-09-01,39.6981
가락,2023-10-01,39.1845
가락,2023-11-01,39.69114
가락,2023-12-01,38.9136
가락,2024-01-01,34.99109
가락,2024-02-01,31.65869
가락,2024-03-01,33.09398
가락,2024-04-01,32.43547
가락,2024-05-01,33.10674
가락,2024-06-01,31.34605
가락,2024-07-01,33.52024
가락,2024-08-01,33.98592
가락,2024-09-01,35.98891
가락,2024-10-01,36.37537
가락,2024-11-01,36.86539
가락,2024-12-01,37.81143
명일,2022-01-01,6.19524
명일,2022-02-01,4.94931
명일,2022-03-01,5.90153
명일,2022-04-01,5.86637
명일,2022-05-01,6.83366
명일,2022-06-01,6.11292
명일,2022-07-01,6.12838
명일,2022-08-01,6.15814
명일,2022-09-01,5.92202
명일,2022-10-01,5.93786
명일,2022-11-01,5.83043
명일,2022-12-01,5.86134
명일,2023-01-01,5.95293
명일,2023-02-01,6.00935
명일,2023-03-01,6.27253
명일,2023-04-01,5.81226
명일,2023-05-01,5.99892
명일,2023-06-01,5.71101
명일,2023-07-01,8.80187
명일,2023-08-01,6.05843
명일,2023-09-01,5.74773
명일,2023-10-01,6.59986
명일,2023-11-01,5.71333
명일,2023-12-01,6.24664
명일,2024-01-01,5.9224
명일,2024-02-01,5.36011
명일,2024-03-01,6.13379
명일,2024-04-01,5.89265
명일,2024-05-01,5.9309
명일,2024-06-01,5.66077
명일,2024-07-01,5.76589
명일,2024-08-01,5.3775
명일,2024-09-01,5.03201
명일,2024-10-01,5.4459
명일,2024-11-01,5.20244
명일,2024-12-01,5.08728
금호,2022-01-01,6.15466
금호,2022-02-01,5.58194
금호,2022-03-01,5.5232
금호,2022-04-01,5.84511
금호,2022-05-01,6.51406
금호,2022-06-01,5.9425
금호,2022-07-01,5.92202
금호,2022-08-01,6.16239
금호,2022-09-01,6.25321
금호,2022-10-01,6.72971
금호,2022-11-01,5.90965
금호,2022-12-01,5.80685
금호,2023-01-01,5.74
금호,2023-02-01,6.18635
금호,2023-03-01,6.26673
금호,2023-04-01,6.91404
금호,2023-05-01,6.10172
금호,2023-06-01,10.49184
금호,2023-07-01,6.47658
금호,2023-08-01,8.75395
금호,2023-09-01,5.98849
금호,2023-10-01,5.64879
금호,2023-11-01,5.40765
금호,2023-12-01,9.54502
금호,2024-01-01,8.78178
금호,2024-02-01,8.74313
금호,2024-03-01,13.34155
금호,2024-04-01,8.06915
금호,2024-05-01,9.67023
금호,2024-06-01,6.72275
금호,2024-07-01,11.44638
금호,2024-08-01,11.49932
금호,2024-09-01,5.99815
금호,2024-10-01,6.13341
금호,2024-11-01,6.90631
금호,2024-12-01,6.516
노량진,2022-01-01,61.34764
노량진,2022-02-01,45.18922
노량진,2022-03-01,48.54287
노량진,2022-04-01,64.20315
노량진,2022-05-01,56.48064
노량진,2022-06-01,50.14627
노량진,2022-07-01,48.71098
노량진,2022-08-01,56.58034
노량진,2022-09-01,64.02229
노량진,2022-10-01,76.29916
노량진,2022-11-01,65.93291
노량진,2022-12-01,81.96805
노량진,2023-01-01,70.01928
노량진,2023-02-01,54.87994
노량진,2023-03-01,54.64768
노량진,2023-04-01,59.76936
노량진,2023-05-01,55.50213
노량진,2023-06-01,53.00332
노량진,2023-07-01,49.56156
노량진,2023-08-01,56.21746
노량진,2023-09-01,69.12232
노량진,2023-10-01,73.40655
노량진,2023-11-01,67.14793
노량진,2023-12-01,100.0
노량진,2024-01-01,58.58758
노량진,2024-02-01,51.56996
노량진,2024-03-01,47.75412
노량진,2024-04-01,50.13854
노량진,2024-05-01,46.9217
노량진,2024-06-01,40.2086
노량진,2024-07-01,39.61887
노량진,2024-08-01,45.49877
노량진,2024-09-01,59.76163
노량진,2024-10-01,65.2257
노량진,2024-11-01,66.6324
노량진,2024-12-01,71.04686
신림,2022-01-01,6.12362
신림,2022-02-01,5.53914
신림,2022-03-01,6.06787
신림,2022-04-01,6.15978
신림,2022-05-01,7.4785
신림,2022-06-01,6.8438
신림,2022-07-01,6.7304
신림,2022-08-01,9.11994
신림,2022-09-01,6.49124
신림,2022-10-01,6.37422
신림,2022-11-01,6.4591
신림,2022-12-01,6.24777
신림,2023-01-01,6.4139
신림,2023-02-01,5.98591
신림,2023-03-01,6.09087
신림,2023-04-01,6.01102
신림,2023-05-01,6.92013
신림,2023-06-01,5.88406
신림,2023-07-01,100.0
신림,2023-08-01,30.75773
신림,2023-09-01,5.57128
신림,2023-10-01,7.32261
신림,2023-11-01,5.49625
신림,2023-12-01,5.50097
신림,2024-01-01,5.67936
신림,2024-02-01,5.61668
신림,2024-03-01,5.52026
신림,2024-04-01,5.65575
신림,2024-05-01,5.36457
신림,2024-06-01,5.21672
신림,2024-07-01,5.69663
신림,2024-08-01,8.76377
신림,2024-09-01,4.92021
신림,2024-10-01,5.1442
신림,2024-11-01,5.15304
신림,2024-12-01,5.16167
보라매,2022-01-01,2.65602
보라매,2022-02-01,2.73969
보라매,2022-03-01,3.53037
보라매,2022-04-01,6.53594
보라매,2022-05-01,5.19301
보라매,2022-06-01,4.20967
보라매,2022-07-01,5.79095
보라매,2022-08-01,6.18107
보라매,2022-09-01,4.13775
보라매,2022-10-01,4.78893
보라매,2022-11-01,4.18145
보라매,2022-12-01,2.90401
보라매,2023-01-01,2.90672
보라매,2023-02-01,3.26912
보라매,2023-03-01,4.90072
보라매,2023-04-01,5.88115
보라매,2023-05-01,4.63053
보라매,2023-06-01,3.80448
보라매,2023-07-01,3.43857
보라매,2023-08-01,5.17754
보라매,2023-09-01,3.90734
보라매,2023-10-01,4.34658
보라매,2023-11-01,3.08903
보라매,2023-12-01,2.8341
보라매,2024-01-01,2.83159
보라매,2024-02-01,2.93063
보라매,2024-03-01,3.81051
보라매,2024-04-01,5.24635
보라매,2024-05-01,4.18336
보라매,2024-06-01,3.79896
보라매,2024-07-01,3.54896
보라매,2024-08-01,3.09365
보라매,2024-09-01,3.44681
보라매,2024-10-01,4.04083
보라매,2024-11-01,3.26681
보라매,2024-12-01,2.63663
개포,2022-01-01,1.33338
개포,2022-02-01,1.17076
개포,2022-03-01,1.6545
개포,2022-04-01,1.30134
개포,2022-05-01,1.58268
개포,2022-06-01,1.44216
개포,2022-07-01,1.43232
개포,2022-08-01,1.57987
개포,2022-09-01,1.36683
개포,2022-10-01,1.40178
개포,2022-11-01,1.37195
개포,2022-12-01,1.50072
개포,2023-01-01,2.62066
개포,2023-02-01,1.71647
개포,2023-03-01,1.82264
개포,2023-04-01,1.63089
개포,2023-05-01,1.72913
개포,2023-06-01,1.5867
개포,2023-07-01,1.86643
개포,2023-08-01,1.52502
개포,2023-09-01,1.47199
개포,2023-10-01,1.57916
개포,2023-11-01,1.60709
개포,2023-12-01,1.68985
개포,2024-01-01,1.6779
개포,2024-02-01,4.38284
개포,2024-03-01,1.61261
개포,2024-04-01,1.47219
개포,2024-05-01,1.55044
개포,2024-06-01,1.2936
개포,2024-07-01,1.36562
개포,2024-08-01,1.33669
개포,2024-09-01,1.24921
개포,2024-10-01,1.24107
개포,2024-11-01,1.21134
개포,2024-12-01,1.12576
연희동,2022-01-01,3.28489
연희동,2022-02-01,2.85017
연희동,2022-03-01,3.29704
연희동,2022-04-01,3.56091
연희동,2022-05-01,3.32195
연희동,2022-06-01,3.07959
연희동,2022-07-01,3.08662
연희동,2022-08-01,3.07135
연희동,2022-09-01,2.68766
연희동,2022-10-01,2.98205
연희동,2022-11-01,2.85409
연희동,2022-12-01,2.93816
연희동,2023-01-01,3.17691
연희동,2023-02-01,3.0838
연희동,2023-03-01,3.10861
연희동,2023-04-01,3.11384
연희동,2023-05-01,2.81552
연희동,2023-06-01,2.66114
연희동,2023-07-01,3.60109
연희동,2023-08-01,3.63494
연희동,2023-09-01,2.61152
연희동,2023-10-01,2.70162
연희동,2023-11-01,2.41073
연희동,2023-12-01,2.76751
연희동,2024-01-01,2.78589
연희동,2024-02-01,2.67791
연희동,2024-03-01,2.56662
연희동,2024-04-01,2.56913
연희동,2024-05-01,2.80045
연희동,2024-06-01,2.42901
연희동,2024-07-01,2.56039
연희동,2024-08-01,7.17777
연희동,2024-09-01,2.49099
연희동,2024-10-01,2.5851
연희동,2024-11-01,2.39979
연희동,2024-12-01,2.70855
난곡,2022-01-01,0.22418
난곡,2022-02-01,0.19285
난곡,2022-03-01,0.21424
난곡,2022-04-01,0.22228
난곡,2022-05-01,0.23764
난곡,2022-06-01,0.22077
난곡,2022-07-01,0.23533
난곡,2022-08-01,0.21645
난곡,2022-09-01,0.19214
난곡,2022-10-01,0.20781
난곡,2022-11-01,0.19767
난곡,2022-12-01,0.19516
난곡,2023-01-01,0.17507
난곡,2023-02-01,0.15639
난곡,2023-03-01,0.19998
난곡,2023-04-01,0.19937
난곡,2023-05-01,0.23292
난곡,2023-06-01,0.1817
난곡,2023-07-01,0.18391
난곡,2023-08-01,0.21946
난곡,2023-09-01,0.18993
난곡,2023-10-01,0.17547
난곡,2023-11-01,0.16774
난곡,2023-12-01,0.16271
난곡,2024-01-01,0.17788
난곡,2024-02-01,0.15709
난곡,2024-03-01,0.17205
난곡,2024-04-01,0.17155
난곡,2024-05-01,0.15006
난곡,2024-06-01,0.14252
난곡,2024-07-01,0.16161
