iter	Passed	Remaining
899	92101	7470
900	92202	7368
901	92305	7265
902	92407	7163
903	92516	7061
904	92628	6959
905	92732	6857
906	92834	6755
907	92934	6652
908	93036	6550
909	93136	6447
910	93239	6345
911	93343	6243
912	93448	6141
913	93549	6038
914	93650	5936
915	93750	5833
916	93850	5731
917	93951	5628
918	94053	5526
919	94156	5424
920	94258	5321
921	94360	5219
922	94462	5117
923	94561	5014
924	94664	4912
925	94765	4809
926	94869	4707
927	94969	4605
928	95070	4502
929	95172	4400
930	95270	4297
931	95372	4195
932	95474	4093
933	95573	3990
934	95675	3888
935	95776	3786
936	95886	3684
937	95985	3581
938	96086	3479
939	96187	3376
940	96287	3274
941	96390	3172
942	96492	3069
943	96592	2967
944	96692	2864
945	96792	2762
946	96896	2660
947	96995	2557
948	97107	2455
949	97221	2353
950	97324	2251
951	97423	2149
952	97525	2046
953	97626	1944
954	97727	1841
955	97828	1739
956	97927	1637
957	98027	1534
958	98128	1432
959	98227	1330
960	98329	1227
961	98431	1125
962	98530	1023
963	98629	920
964	98729	818
965	98828	716
966	98927	613
967	99027	511
968	99128	409
969	99228	306
970	99328	204
971	99429	102
972	99531	0
